,exit_time,entry_signal,pl,entry_price,exit_price,status
2021-12-01 00:24:00,0,SELL,0.0,1.13346,0.0,0
2021-12-01 00:56:00,2021-12-01 01:10:00,BUY,-10.200000000000209,1.13292,1.13258,SLPR
2021-12-01 00:58:00,2021-12-01 01:10:00,BUY,-10.80000000000414,1.13294,1.13258,SLPR
2021-12-01 01:14:00,2021-12-01 01:42:00,BUY,4.500000000002835,1.13245,1.1326,TGP
2021-12-01 01:21:00,2021-12-01 01:42:00,BUY,11.999999999998678,1.1322,1.1326,TGP
2021-12-01 01:28:00,2021-12-01 01:42:00,BUY,20.400000000000418,1.13192,1.1326,TGP
2021-12-01 01:31:00,2021-12-01 01:42:00,BUY,20.099999999998452,1.13193,1.1326,TGP
2021-12-01 01:42:00,2021-12-01 01:53:00,SELL,20.700000000002383,1.1326,1.13191,TGP
2021-12-01 01:45:00,2021-12-01 01:53:00,SELL,15.300000000000313,1.13242,1.13191,TGP
2021-12-01 01:53:00,2021-12-01 02:23:00,BUY,5.999999999999339,1.13191,1.13211,TGP
2021-12-01 01:55:00,2021-12-01 02:23:00,BUY,5.1000000000001044,1.13194,1.13211,TGP
2021-12-01 02:23:00,2021-12-01 02:36:00,SELL,11.999999999998678,1.13211,1.13171,TGP
2021-12-01 02:36:00,2021-12-01 03:04:00,BUY,20.700000000002383,1.13171,1.1324,TGP
2021-12-01 03:04:00,2021-12-01 03:41:00,SELL,-15.599999999995617,1.1324,1.13292,SL
2021-12-01 03:12:00,2021-12-01 03:43:00,SELL,-14.999999999998348,1.13246,1.13296,SL
2021-12-01 03:20:00,2021-12-01 05:00:00,SELL,-16.499999999994852,1.13271,1.13326,SL
2021-12-01 03:25:00,2021-12-01 04:12:00,SELL,3.8999999999989043,1.13275,1.13262,TGP
2021-12-01 03:45:00,2021-12-01 04:00:00,SELL,5.3999999999954085,1.13295,1.13277,TGP
2021-12-01 03:51:00,2021-12-01 04:00:00,SELL,7.499999999995843,1.13302,1.13277,TGP
2021-12-01 04:00:00,2021-12-01 04:20:00,BUY,6.300000000001305,1.13277,1.13298,TGP
2021-12-01 04:20:00,2021-12-01 05:57:00,SELL,-17.399999999994087,1.13298,1.13356,SL
