,bidopen,max_bid,min_bid,small_sma_8,large_sma_16,rsi,sma_signal,sma_signal_1,entry_price,entry_signal,exit_price,exit_time,status,pl
2021-12-01 01:31:00,1.13184,1.13203,1.13184,1.13188625,1.132041875,37.17645883134825,,,1.13193,BUY,1.13242,2021-12-01 01:45:00,TG,14.699999999996383
2021-12-01 01:42:00,1.13271,1.13274,1.13258,1.132465,1.13222,67.57508647558413,,,1.1326,SELL,1.13191,2021-12-01 01:53:00,TGP,20.700000000002383
2021-12-01 01:53:00,1.13189,1.13197,1.13181,1.132235,1.132404375,30.775226935514766,,,1.13191,BUY,1.13211,2021-12-01 02:23:00,TGP,5.999999999999339
2021-12-01 02:23:00,1.13231,1.13231,1.1321,1.1320949999999999,1.13202625,51.85585602357803,,,1.13211,SELL,1.13171,2021-12-01 02:36:00,TGP,11.999999999998678
2021-12-01 02:36:00,1.13168,1.13171,1.13164,1.13175,1.131949375,31.650385879185905,,,1.13171,BUY,1.1324,2021-12-01 03:04:00,TGP,20.700000000002383
2021-12-01 03:04:00,1.13244,1.13248,1.13237,1.1322975,1.1322125,69.96426895935234,,,1.1324,SELL,1.13292,2021-12-01 03:41:00,SL,-15.599999999995617
2021-12-01 03:45:00,1.133,1.133,1.1329,1.13289375,1.13282125,68.00602371822715,,,1.13295,SELL,1.13277,2021-12-01 04:00:00,TGP,5.3999999999954085
2021-12-01 04:00:00,1.13276,1.13277,1.13274,1.13294375,1.13297875,30.286860446360677,,,1.13277,BUY,1.13298,2021-12-01 04:20:00,TGP,6.300000000001305
2021-12-01 04:20:00,1.13306,1.13306,1.13297,1.13291875,1.13275125,64.21052784426317,,,1.13298,SELL,1.13356,2021-12-01 05:57:00,SL,-17.399999999994087
2021-12-01 05:04:00,1.13336,1.13337,1.1333,1.1332175,1.13308125,68.73096338802219,,,1.13331,SELL,1.13289,2021-12-01 05:32:00,TGP,12.60000000000261
2021-12-01 05:46:00,1.13339,1.13339,1.1332,1.13316125,1.13304625,58.684175808428364,,,1.13323,SELL,1.13301,2021-12-01 06:58:00,TGP,6.599999999996609
2021-12-01 06:58:00,1.13297,1.13308,1.13291,1.1333550000000001,1.1334137499999999,30.567376100443283,,,1.13301,BUY,1.13282,2021-12-01 07:14:00,SLPR,-5.700000000004035
2021-12-01 07:22:00,1.13265,1.13278,1.13263,1.1327699999999998,1.132938125,37.84673082031577,,,1.13276,BUY,1.13469,2021-12-01 08:07:00,TG,57.89999999999962
2021-12-01 07:55:00,1.13175,1.13241,1.13175,1.13205625,1.132264375,55.93334530218476,,,1.13241,BUY,1.13469,2021-12-01 08:07:00,TG,68.4000000000018
2021-12-01 08:06:00,1.13542,1.13564,1.13492,1.13509,1.13382125,69.86775986620098,,,1.13505,SELL,1.13432,2021-12-01 08:09:00,TG,21.899999999996922
2021-12-01 08:20:00,1.1329,1.13312,1.13289,1.1335012500000001,1.1339943749999999,35.04440320106423,,,1.13312,BUY,1.13261,2021-12-01 08:24:00,SL,-15.300000000000313
2021-12-01 08:45:00,1.13055,1.13087,1.13055,1.1308475,1.131244375,32.71810855141223,,,1.13076,BUY,1.13031,2021-12-01 08:48:00,SLPR,-13.500000000001844
2021-12-01 10:06:00,1.13359,1.1336,1.13323,1.1329737500000001,1.13277,63.37370439083899,,,1.13324,SELL,1.13247,2021-12-01 10:29:00,TG,23.099999999998122
2021-12-01 10:11:00,1.1338,1.1339,1.13358,1.13349125,1.1330675000000001,67.36941622324922,,,1.13364,SELL,1.13288,2021-12-01 10:19:00,TG,22.799999999996157
