,bidopen,bidclose,entry_price,entry_signal,exit_price,exit_time,status,pl
2021-12-01 00:58:00,1.13278,1.13294,1.13294,BUY,0.0,0,0,0.0
2021-12-01 01:14:00,1.13222,1.13245,1.13245,BUY,1.1326,2021-12-01 01:42:00,TGP,4.500000000002835
2021-12-01 01:21:00,1.13216,1.1322,1.1322,BUY,1.1326,2021-12-01 01:42:00,TGP,11.999999999998678
2021-12-01 01:28:00,1.13181,1.13192,1.13192,BUY,1.1326,2021-12-01 01:42:00,TGP,20.400000000000418
2021-12-01 01:31:00,1.13184,1.13193,1.13193,BUY,1.1326,2021-12-01 01:42:00,TGP,20.099999999998452
2021-12-01 01:42:00,1.13271,1.1326,1.1326,SELL,1.13191,2021-12-01 01:53:00,TGP,20.700000000002383
2021-12-01 01:45:00,1.13275,1.13242,1.13242,SELL,1.13191,2021-12-01 01:53:00,TGP,15.300000000000313
2021-12-01 01:53:00,1.13189,1.13191,1.13191,BUY,1.13211,2021-12-01 02:23:00,TGP,5.999999999999339
2021-12-01 01:55:00,1.13186,1.13194,1.13194,BUY,1.13211,2021-12-01 02:23:00,TGP,5.1000000000001044
2021-12-01 02:23:00,1.13231,1.13211,1.13211,SELL,1.13171,2021-12-01 02:36:00,TGP,11.999999999998678
2021-12-01 02:36:00,1.13168,1.13171,1.13171,BUY,1.1324,2021-12-01 03:04:00,TGP,20.700000000002383
2021-12-01 03:04:00,1.13244,1.1324,1.1324,SELL,1.13292,2021-12-01 03:41:00,SL,-15.599999999995617
2021-12-01 03:12:00,1.13255,1.13246,1.13246,SELL,1.13296,2021-12-01 03:43:00,SL,-14.999999999998348
2021-12-01 03:20:00,1.13275,1.13271,1.13271,SELL,1.13326,2021-12-01 05:00:00,SL,-16.499999999994852
2021-12-01 03:25:00,1.1328,1.13275,1.13275,SELL,1.13262,2021-12-01 04:12:00,TGP,3.8999999999989043
2021-12-01 03:45:00,1.133,1.13295,1.13295,SELL,1.13277,2021-12-01 04:00:00,TGP,5.3999999999954085
2021-12-01 03:51:00,1.13306,1.13302,1.13302,SELL,1.13277,2021-12-01 04:00:00,TGP,7.499999999995843
2021-12-01 04:00:00,1.13276,1.13277,1.13277,BUY,1.13298,2021-12-01 04:20:00,TGP,6.300000000001305
2021-12-01 04:20:00,1.13306,1.13298,1.13298,SELL,1.13356,2021-12-01 05:57:00,SL,-17.399999999994087
2021-12-01 05:04:00,1.13336,1.13331,1.13331,SELL,1.13289,2021-12-01 05:32:00,TGP,12.60000000000261
2021-12-01 05:32:00,1.13283,1.13289,1.13289,BUY,1.13323,2021-12-01 05:46:00,TGP,10.200000000000209
2021-12-01 05:46:00,1.13339,1.13323,1.13323,SELL,1.13301,2021-12-01 06:58:00,TGP,6.599999999996609
2021-12-01 06:58:00,1.13297,1.13301,1.13301,BUY,1.13282,2021-12-01 07:14:00,SLPR,-5.700000000004035
2021-12-01 07:22:00,1.13265,1.13276,1.13276,BUY,1.13469,2021-12-01 08:07:00,TG,57.89999999999962
2021-12-01 07:55:00,1.13175,1.13241,1.13241,BUY,1.13469,2021-12-01 08:07:00,TG,68.4000000000018
2021-12-01 08:06:00,1.13542,1.13505,1.13505,SELL,1.13409,2021-12-01 08:10:00,TG,28.799999999995496
2021-12-01 08:20:00,1.1329,1.13312,1.13312,BUY,1.13261,2021-12-01 08:24:00,SL,-15.300000000000313
2021-12-01 08:25:00,1.13261,1.1327,1.1327,BUY,1.13281,2021-12-01 09:31:00,TGP,3.300000000001635
2021-12-01 08:45:00,1.13055,1.13076,1.13076,BUY,1.13031,2021-12-01 08:48:00,SLPR,-13.500000000001844
2021-12-01 09:14:00,1.13213,1.13191,1.13191,SELL,1.13241,2021-12-01 09:24:00,SL,-14.999999999998348
2021-12-01 09:26:00,1.13252,1.13239,1.13239,SELL,1.13282,2021-12-01 09:52:00,SLPR,-12.899999999997913
2021-12-01 09:31:00,1.13298,1.13281,1.13281,SELL,1.13338,2021-12-01 10:04:00,SLPR,-17.099999999998783
2021-12-01 10:06:00,1.13359,1.13324,1.13324,SELL,1.13252,2021-12-01 10:25:00,TGP,21.600000000001618
2021-12-01 10:11:00,1.1338,1.13364,1.13364,SELL,1.13276,2021-12-01 10:23:00,TG,26.399999999999757
2021-12-01 10:25:00,1.13245,1.13252,1.13252,BUY,1.13221,2021-12-01 10:42:00,SLPR,-9.300000000000974
2021-12-01 10:27:00,1.13241,1.13247,1.13247,BUY,1.13221,2021-12-01 10:42:00,SLPR,-7.80000000000447
2021-12-01 10:44:00,1.13209,1.13221,1.13221,BUY,1.13274,2021-12-01 11:02:00,TGP,15.900000000004244
2021-12-01 11:02:00,1.1328,1.13274,1.13274,SELL,1.13241,2021-12-01 11:55:00,TGP,9.900000000004905
2021-12-01 11:07:00,1.133,1.13292,1.13292,SELL,1.13241,2021-12-01 11:55:00,TGP,15.300000000000313
2021-12-01 11:11:00,1.13307,1.13297,1.13297,SELL,1.13241,2021-12-01 11:55:00,TGP,16.80000000000348
2021-12-01 11:19:00,1.13334,1.13312,1.13312,SELL,1.13241,2021-12-01 11:55:00,TGP,21.299999999999653
2021-12-01 11:55:00,1.13227,1.13241,1.13241,BUY,1.13245,2021-12-01 13:25:00,TGP,1.2000000000012
2021-12-01 12:00:00,1.13205,1.13214,1.13214,BUY,1.13174,2021-12-01 12:18:00,SLPR,-11.999999999998678
2021-12-01 12:22:00,1.13157,1.13171,1.13171,BUY,1.13125,2021-12-01 12:58:00,SLPR,-13.799999999997148
2021-12-01 13:00:00,1.13126,1.13156,1.13156,BUY,1.13213,2021-12-01 13:21:00,TG,17.100000000005444
2021-12-01 13:21:00,1.13225,1.13213,1.13213,SELL,1.13269,2021-12-01 13:24:00,SL,-16.799999999996817
2021-12-01 13:25:00,1.13269,1.13245,1.13245,SELL,1.13313,2021-12-01 13:32:00,SL,-20.400000000000418
2021-12-01 13:27:00,1.13269,1.13266,1.13266,SELL,1.13325,2021-12-01 13:33:00,SL,-17.700000000002714
2021-12-01 13:36:00,1.13313,1.13304,1.13304,SELL,1.13389,2021-12-01 13:56:00,SLPR,-25.500000000000522
2021-12-01 13:40:00,1.13333,1.13312,1.13312,SELL,1.13389,2021-12-01 13:56:00,SLPR,-23.100000000004783
2021-12-01 13:45:00,1.13358,1.13353,1.13353,SELL,1.13389,2021-12-01 13:56:00,SLPR,-10.80000000000414
2021-12-01 14:24:00,1.1343,1.13419,1.13419,SELL,1.13471,2021-12-01 14:33:00,SLPR,-15.600000000002279
2021-12-01 14:27:00,1.1344,1.13429,1.13429,SELL,1.13471,2021-12-01 14:33:00,SLPR,-12.60000000000261
2021-12-01 14:41:00,1.13494,1.13468,1.13468,SELL,1.13519,2021-12-01 14:59:00,SLPR,-15.300000000000313
2021-12-01 14:47:00,1.13544,1.13503,1.13503,SELL,1.13559,2021-12-01 15:05:00,SL,-16.80000000000348
2021-12-01 15:17:00,1.13376,1.1339,1.1339,BUY,1.13483,2021-12-01 15:40:00,TG,27.900000000002922
2021-12-01 15:21:00,1.13376,1.13393,1.13393,BUY,1.13483,2021-12-01 15:40:00,TG,26.999999999997026
2021-12-01 15:40:00,1.13496,1.13483,1.13483,SELL,1.13395,2021-12-01 15:51:00,TG,26.399999999999757
2021-12-01 15:50:00,1.13371,1.13377,1.13377,BUY,1.13363,2021-12-01 15:56:00,SLPR,-4.20000000000087
2021-12-01 16:07:00,1.13246,1.13269,1.13269,BUY,1.13233,2021-12-01 16:23:00,SLPR,-10.799999999997478
2021-12-01 17:07:00,1.13165,1.13167,1.13167,BUY,1.1323,2021-12-01 17:49:00,TGP,18.900000000003914
2021-12-01 17:10:00,1.13149,1.13165,1.13165,BUY,1.1323,2021-12-01 17:49:00,TGP,19.500000000001183
2021-12-01 17:40:00,1.13165,1.1318,1.1318,BUY,1.1323,2021-12-01 17:49:00,TGP,15.00000000000501
2021-12-01 17:49:00,1.13232,1.1323,1.1323,SELL,1.13199,2021-12-01 18:44:00,TGP,9.300000000000974
2021-12-01 17:54:00,1.13265,1.13251,1.13251,SELL,1.13199,2021-12-01 18:44:00,TGP,15.599999999995617
2021-12-01 17:58:00,1.13264,1.13252,1.13252,SELL,1.13199,2021-12-01 18:44:00,TGP,15.899999999997583
2021-12-01 18:44:00,1.13179,1.13199,1.13199,BUY,1.13271,2021-12-01 19:03:00,TGP,21.600000000001618
2021-12-01 19:03:00,1.13287,1.13271,1.13271,SELL,1.13179,2021-12-01 19:18:00,TG,27.600000000000957
2021-12-01 19:18:00,1.13164,1.13179,1.13179,BUY,1.13203,2021-12-01 19:53:00,TGP,7.200000000000539
2021-12-01 19:53:00,1.13224,1.13203,1.13203,SELL,1.13123,2021-12-01 20:11:00,TGP,24.000000000004018
2021-12-01 20:11:00,1.13115,1.13123,1.13123,BUY,1.13093,2021-12-01 20:51:00,SLPR,-8.999999999999009
2021-12-01 20:45:00,1.13103,1.13117,1.13117,BUY,1.13104,2021-12-01 20:59:00,TGP,-3.8999999999989043
2021-12-01 22:14:00,1.13136,1.13153,1.13153,BUY,1.13201,2021-12-01 22:37:00,TGP,14.400000000001079
2021-12-01 22:37:00,1.13203,1.13201,1.13201,SELL,1.13155,2021-12-01 22:55:00,TGP,13.799999999997148
2021-12-01 22:55:00,1.13151,1.13155,1.13155,BUY,1.13192,2021-12-01 23:41:00,TGP,11.099999999999444
2021-12-01 22:57:00,1.13143,1.13145,1.13145,BUY,1.13192,2021-12-01 23:41:00,TGP,14.099999999999113
2021-12-01 23:41:00,1.13196,1.13192,1.13192,SELL,1.13163,2021-12-02 00:15:00,TGP,8.700000000003705
2021-12-02 00:15:00,1.1316,1.13163,1.13163,BUY,1.13222,2021-12-02 01:26:00,TGP,17.700000000002714
2021-12-02 01:26:00,1.13235,1.13222,1.13222,SELL,1.13272,2021-12-02 01:53:00,SL,-14.999999999998348
2021-12-02 01:44:00,1.13243,1.13238,1.13238,SELL,1.13299,2021-12-02 02:01:00,SL,-18.299999999999983
2021-12-02 01:54:00,1.13272,1.13262,1.13262,SELL,1.13316,2021-12-02 02:05:00,SL,-16.199999999999548
2021-12-02 02:06:00,1.13316,1.13303,1.13303,SELL,1.13367,2021-12-02 02:28:00,SL,-19.199999999999218
2021-12-02 02:14:00,1.13325,1.1332,1.1332,SELL,1.1337,2021-12-02 02:29:00,SL,-14.999999999998348
2021-12-02 02:17:00,1.13341,1.13335,1.13335,SELL,1.13314,2021-12-02 03:33:00,TGP,6.300000000001305
2021-12-02 02:20:00,1.13344,1.13342,1.13342,SELL,1.1333,2021-12-02 02:55:00,TGP,3.6000000000036003
2021-12-02 02:30:00,1.1337,1.13362,1.13362,SELL,1.1333,2021-12-02 02:55:00,TGP,9.60000000000294
2021-12-02 02:34:00,1.13385,1.13375,1.13375,SELL,1.1333,2021-12-02 02:55:00,TGP,13.500000000001844
2021-12-02 03:33:00,1.1331,1.13314,1.13314,BUY,1.13262,2021-12-02 04:24:00,SL,-15.600000000002279
2021-12-02 03:37:00,1.13306,1.1331,1.1331,BUY,1.13282,2021-12-02 04:13:00,SLPR,-8.40000000000174
2021-12-02 04:38:00,1.13242,1.1326,1.1326,BUY,1.13207,2021-12-02 05:04:00,SL,-15.900000000004244
2021-12-02 05:10:00,1.13201,1.13209,1.13209,BUY,1.1323,2021-12-02 06:18:00,TGP,6.300000000001305
2021-12-02 05:19:00,1.13189,1.13193,1.13193,BUY,1.13208,2021-12-02 06:09:00,TGP,4.499999999996174
2021-12-02 05:21:00,1.13192,1.13193,1.13193,BUY,1.13208,2021-12-02 06:09:00,TGP,4.499999999996174
2021-12-02 05:32:00,1.13179,1.13183,1.13183,BUY,1.13208,2021-12-02 06:09:00,TGP,7.500000000002505
2021-12-02 05:44:00,1.13162,1.13164,1.13164,BUY,1.13188,2021-12-02 05:55:00,TGP,7.200000000000539
2021-12-02 05:55:00,1.13191,1.13188,1.13188,SELL,1.13155,2021-12-02 07:25:00,TGP,9.899999999998244
2021-12-02 06:09:00,1.13218,1.13208,1.13208,SELL,1.13155,2021-12-02 07:25:00,TGP,15.899999999997583
2021-12-02 06:14:00,1.13222,1.13221,1.13221,SELL,1.13155,2021-12-02 07:25:00,TGP,19.799999999996487
2021-12-02 07:25:00,1.13133,1.13155,1.13155,BUY,1.13206,2021-12-02 07:34:00,TGP,15.300000000000313
2021-12-02 07:34:00,1.13216,1.13206,1.13206,SELL,1.13114,2021-12-02 07:47:00,TG,27.600000000000957
2021-12-02 07:46:00,1.13102,1.13111,1.13111,BUY,1.13076,2021-12-02 07:56:00,SLPR,-10.500000000002174
2021-12-02 07:58:00,1.1307,1.13086,1.13086,BUY,1.13182,2021-12-02 08:25:00,TG,28.800000000002157
2021-12-02 08:39:00,1.13228,1.13222,1.13222,SELL,1.13245,2021-12-02 08:49:00,SLPR,-6.899999999998574
2021-12-02 08:58:00,1.13258,1.13254,1.13254,SELL,1.13167,2021-12-02 09:20:00,TG,26.100000000004453
