,bidopen,rsi,entry_price,entry_signal,exit_price,exit_time,status,pl
2022-02-01 00:56:00,1.1221,39.85945615269795,1.12219,BUY,0.0,0,0,0.0
2022-02-01 01:18:00,1.12247,53.259480939498026,1.12236,SELL,1.12293,2022-02-01 02:34:00,SL,-17.099999999998783
2022-02-01 01:28:00,1.1226,63.54800917605941,1.12254,SELL,1.12241,2022-02-01 01:47:00,TGP,3.9000000000055657
2022-02-01 01:33:00,1.12278,65.76894285857686,1.12269,SELL,1.12241,2022-02-01 01:47:00,TGP,8.40000000000174
2022-02-01 02:48:00,1.1232,63.80540896470587,1.12313,SELL,1.12289,2022-02-01 03:35:00,TGP,7.200000000000539
2022-02-01 03:35:00,1.1227,42.8390528818445,1.12289,BUY,1.12373,2022-02-01 04:28:00,TG,25.199999999998557
2022-02-01 04:28:00,1.12378,63.70096532741864,1.12373,BUY,1.12411,2022-02-01 04:47:00,TGP,11.400000000001409
2022-02-01 04:34:00,1.12378,58.930703506000306,1.12375,SELL,1.12429,2022-02-01 04:49:00,SL,-16.199999999999548
2022-02-01 04:57:00,1.1244,59.519697322860935,1.12428,SELL,1.12396,2022-02-01 05:59:00,TGP,9.599999999996278
2022-02-01 05:59:00,1.12394,32.041802662326916,1.12396,BUY,1.12378,2022-02-01 06:16:00,SLPR,-5.40000000000207
2022-02-01 06:19:00,1.12373,41.274950327970316,1.12382,BUY,1.12409,2022-02-01 07:12:00,TGP,8.099999999999774
2022-02-01 07:00:00,1.1234,66.6504167854312,1.12395,BUY,1.12409,2022-02-01 07:12:00,TGP,4.20000000000087
2022-02-01 07:12:00,1.12427,58.35823527410227,1.12409,SELL,1.12433,2022-02-01 07:36:00,SLPR,-7.200000000000539
2022-02-01 07:40:00,1.12516,60.06560234343872,1.12464,SELL,1.12516,2022-02-01 07:49:00,SL,-15.599999999995617
2022-02-01 08:04:00,1.12657,60.272759455213595,1.12635,SELL,1.12545,2022-02-01 08:18:00,TG,26.999999999997026
2022-02-01 08:18:00,1.12529,34.43119284572761,1.12545,SELL,1.12599,2022-02-01 08:39:00,SL,-16.199999999999548
2022-02-01 08:49:00,1.12523,41.75977505344713,1.12544,BUY,1.1261,2022-02-01 09:19:00,TGP,19.80000000000315
2022-02-01 09:19:00,1.12621,64.20731870615063,1.1261,SELL,1.12644,2022-02-01 10:23:00,SLPR,-10.200000000000209
2022-02-01 09:23:00,1.12643,53.56804099433345,1.12604,SELL,1.12658,2022-02-01 10:26:00,SL,-16.199999999999548
2022-02-01 09:31:00,1.12661,58.679193625682586,1.1264,SELL,1.12574,2022-02-01 09:37:00,TG,19.80000000000315
2022-02-01 10:27:00,1.12659,60.144218764261176,1.12635,SELL,1.12557,2022-02-01 10:49:00,TG,23.400000000000087
2022-02-01 11:24:00,1.12676,66.06840446045405,1.12667,SELL,1.12657,2022-02-01 12:37:00,TGP,2.9999999999996696
2022-02-01 11:48:00,1.12777,68.99543048542449,1.12769,SELL,1.12707,2022-02-01 12:08:00,TG,18.60000000000195
2022-02-01 12:08:00,1.12687,43.29642883987553,1.12707,SELL,1.12657,2022-02-01 12:37:00,TGP,14.999999999998348
2022-02-01 12:37:00,1.12643,39.08750539168876,1.12657,BUY,1.12585,2022-02-01 12:54:00,SL,-21.600000000001618
2022-02-01 13:44:00,1.12639,64.38768991096059,1.12627,SELL,1.12657,2022-02-01 13:50:00,SLPR,-8.999999999999009
2022-02-01 14:26:00,1.12727,68.3117494358315,1.12722,SELL,1.1264,2022-02-01 14:49:00,TG,24.600000000001288
2022-02-01 14:49:00,1.12608,43.11728835107927,1.1264,SELL,1.12567,2022-02-01 15:04:00,TG,21.900000000003583
2022-02-01 15:46:00,1.12453,39.32870774650834,1.12492,BUY,1.12563,2022-02-01 15:50:00,TG,21.299999999999653
2022-02-01 16:31:00,1.12523,64.01501448023484,1.1251,SELL,1.12426,2022-02-01 16:40:00,TG,25.199999999998557
2022-02-01 16:44:00,1.12363,33.82338811843424,1.1239,SELL,1.12361,2022-02-01 16:52:00,TGP,8.699999999997043
2022-02-01 16:52:00,1.12352,33.37491767292947,1.12361,BUY,1.1244,2022-02-01 17:19:00,TG,23.700000000002053
2022-02-01 17:28:00,1.12479,64.06994170607493,1.12463,BUY,1.12482,2022-02-01 18:11:00,TGP,5.699999999997374
2022-02-01 17:45:00,1.12369,33.37650039264123,1.12383,SELL,1.12438,2022-02-01 17:55:00,SL,-16.499999999994852
2022-02-01 18:03:00,1.12453,67.52585179108787,1.12451,SELL,1.12472,2022-02-01 18:34:00,SLPR,-6.300000000001305
