date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2022-03-01 00:00:00,1.12135,1.12131,1.12141,1.12131,1.12149,1.12145,1.12153,1.12144,86
2022-03-01 00:01:00,1.12132,1.12094,1.12132,1.12092,1.12144,1.12108,1.12145,1.12105,153
2022-03-01 00:02:00,1.12095,1.12076,1.12095,1.12071,1.12109,1.1209,1.1211,1.12087,114
2022-03-01 00:03:00,1.12076,1.12102,1.12113,1.12074,1.12089,1.12116,1.12127,1.12087,119
2022-03-01 00:04:00,1.12101,1.12071,1.12102,1.12071,1.12116,1.12085,1.12116,1.12085,116
2022-03-01 00:05:00,1.12071,1.12084,1.12091,1.12065,1.12086,1.12096,1.12105,1.12078,119
2022-03-01 00:06:00,1.12084,1.12089,1.1209,1.12083,1.12097,1.12102,1.12102,1.12096,23
2022-03-01 00:07:00,1.1209,1.12105,1.12107,1.1209,1.12102,1.12118,1.1212,1.12102,49
2022-03-01 00:08:00,1.12105,1.12102,1.12106,1.121,1.12117,1.12114,1.12118,1.12113,37
2022-03-01 00:09:00,1.12104,1.12096,1.12107,1.12094,1.12117,1.1211,1.12121,1.12108,37
2022-03-01 00:10:00,1.12095,1.1209,1.12099,1.1209,1.12109,1.12104,1.12113,1.12103,38
2022-03-01 00:11:00,1.12089,1.12091,1.12091,1.12089,1.12104,1.12104,1.12104,1.12102,14
2022-03-01 00:12:00,1.1209,1.12097,1.12101,1.1209,1.12103,1.1211,1.12113,1.12103,26
2022-03-01 00:13:00,1.12098,1.12095,1.12102,1.12095,1.12112,1.12109,1.12114,1.12109,40
2022-03-01 00:14:00,1.12096,1.12099,1.12101,1.12095,1.1211,1.12112,1.12114,1.12108,27
2022-03-01 00:15:00,1.12099,1.12111,1.12113,1.12099,1.12111,1.12124,1.12125,1.12111,61
2022-03-01 00:16:00,1.12112,1.1211,1.12112,1.12107,1.12124,1.12122,1.12124,1.1212,34
2022-03-01 00:17:00,1.12109,1.1211,1.12112,1.12109,1.12121,1.12124,1.12125,1.12121,21
2022-03-01 00:18:00,1.12111,1.1212,1.1212,1.1211,1.12124,1.12133,1.12134,1.12123,28
2022-03-01 00:19:00,1.1212,1.1212,1.12122,1.12113,1.12132,1.12132,1.12135,1.12125,52
2022-03-01 00:20:00,1.12119,1.12116,1.1212,1.12116,1.12132,1.12129,1.12132,1.12128,17
2022-03-01 00:21:00,1.12117,1.12116,1.12118,1.12116,1.12131,1.12129,1.12131,1.12129,13
2022-03-01 00:22:00,1.12116,1.12114,1.12118,1.12113,1.12128,1.12127,1.12131,1.12126,22
2022-03-01 00:23:00,1.12113,1.12097,1.12115,1.12097,1.12127,1.1211,1.12128,1.12109,58
2022-03-01 00:24:00,1.12096,1.121,1.121,1.12096,1.1211,1.12113,1.12113,1.1211,11
2022-03-01 00:25:00,1.12099,1.12106,1.12106,1.12097,1.12112,1.12118,1.12118,1.1211,18
2022-03-01 00:26:00,1.12106,1.12117,1.12118,1.12106,1.1212,1.1213,1.12131,1.1212,22
2022-03-01 00:27:00,1.12117,1.12111,1.12117,1.12111,1.12129,1.12125,1.12129,1.12124,31
2022-03-01 00:28:00,1.12112,1.12112,1.12112,1.12111,1.12125,1.12125,1.12125,1.12125,3
2022-03-01 00:29:00,1.12111,1.1211,1.12111,1.12108,1.12125,1.12123,1.12125,1.12121,9
2022-03-01 00:30:00,1.1211,1.12107,1.12111,1.12107,1.12124,1.12121,1.12124,1.1212,30
2022-03-01 00:31:00,1.12108,1.12108,1.12111,1.12106,1.12122,1.1212,1.12124,1.1212,26
2022-03-01 00:32:00,1.12107,1.12107,1.12108,1.12107,1.1212,1.1212,1.1212,1.1212,3
2022-03-01 00:33:00,1.12106,1.12097,1.12106,1.12097,1.12119,1.1211,1.12119,1.1211,23
2022-03-01 00:34:00,1.12098,1.1209,1.12101,1.12089,1.12112,1.12104,1.12114,1.12103,39
2022-03-01 00:35:00,1.12091,1.1209,1.12092,1.12082,1.12104,1.12102,1.12105,1.12095,64
2022-03-01 00:36:00,1.12089,1.1208,1.12096,1.1208,1.12102,1.12094,1.12108,1.12094,33
2022-03-01 00:37:00,1.12081,1.12075,1.12083,1.1207,1.12094,1.12088,1.12096,1.12084,66
2022-03-01 00:38:00,1.12076,1.1208,1.12085,1.12075,1.12088,1.12093,1.12097,1.12088,61
2022-03-01 00:39:00,1.12079,1.12086,1.12086,1.12079,1.12093,1.12098,1.12098,1.12093,14
2022-03-01 00:40:00,1.12086,1.12082,1.12086,1.12079,1.12099,1.12094,1.12099,1.12092,45
2022-03-01 00:41:00,1.12082,1.12097,1.12097,1.12081,1.12095,1.1211,1.1211,1.12094,61
2022-03-01 00:42:00,1.12098,1.12081,1.12101,1.12078,1.12111,1.12094,1.12114,1.1209,78
2022-03-01 00:43:00,1.12082,1.12083,1.12089,1.12079,1.12094,1.12095,1.12102,1.12093,37
2022-03-01 00:44:00,1.12083,1.12086,1.12098,1.12082,1.12096,1.12098,1.1211,1.12095,48
2022-03-01 00:45:00,1.12086,1.12085,1.12089,1.12079,1.12099,1.12098,1.12102,1.12093,68
2022-03-01 00:46:00,1.12086,1.12074,1.1209,1.1207,1.12098,1.12087,1.12102,1.12083,78
2022-03-01 00:47:00,1.12074,1.12059,1.12075,1.12057,1.12086,1.12072,1.12087,1.12069,91
2022-03-01 00:48:00,1.12059,1.12065,1.12065,1.12056,1.12073,1.12077,1.12077,1.12069,77
2022-03-01 00:49:00,1.12065,1.12051,1.12067,1.12048,1.12078,1.12064,1.12081,1.1206,94
2022-03-01 00:50:00,1.12052,1.12069,1.12077,1.12051,1.12064,1.12082,1.12089,1.12064,113
2022-03-01 00:51:00,1.1207,1.12075,1.12075,1.12053,1.12082,1.12087,1.12088,1.12065,110
2022-03-01 00:52:00,1.12075,1.12084,1.12086,1.12069,1.12088,1.12098,1.121,1.12083,94
2022-03-01 00:53:00,1.12085,1.12104,1.12105,1.12085,1.12098,1.12117,1.12118,1.12098,108
2022-03-01 00:54:00,1.12103,1.12127,1.12138,1.12093,1.12117,1.12139,1.12151,1.12107,291
2022-03-01 00:55:00,1.12126,1.12095,1.12127,1.12081,1.12139,1.12108,1.12141,1.12096,344
