,Index,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
0,2022-03-01 08:19:00,1.12116,1.12139,1.12116,37.71189896030171,,1.12135,BUY,1.12213,2022-03-01 08:49:00,TG,23.400000000000087
1,2022-03-01 09:33:00,1.12147,1.1217,1.12147,31.568979612870066,,1.1216,BUY,1.12024,2022-03-01 09:36:00,SLP,-40.800000000000836
2,2022-03-01 10:16:00,1.11755,1.11793,1.11746,33.24184957501326,,1.11791,BUY,1.11729,2022-03-01 10:19:00,SLP,-18.60000000000195
3,2022-03-01 10:50:00,1.11841,1.11845,1.11812,65.82182409566387,,1.11815,SELL,1.11766,2022-03-01 11:03:00,TG,14.699999999996383
4,2022-03-01 11:56:00,1.11741,1.11788,1.11732,45.95271194854357,,1.11783,BUY,1.11718,2022-03-01 12:12:00,SLP,-19.500000000001183
5,2022-03-01 12:41:00,1.11665,1.11688,1.11663,41.70657652240629,,1.11685,BUY,1.11612,2022-03-01 12:47:00,SLP,-21.899999999996922
6,2022-03-01 14:14:00,1.11446,1.11464,1.11425,33.53292054160433,,1.11461,BUY,1.11529,2022-03-01 14:20:00,TG,20.399999999993756
7,2022-03-01 15:13:00,1.11285,1.11317,1.11284,32.70977328310464,,1.1131,BUY,1.11406,2022-03-01 15:18:00,TG,28.800000000002157
8,2022-03-01 16:29:00,1.11105,1.11154,1.11098,38.69612386504853,,1.11154,BUY,1.11058,2022-03-01 16:44:00,SLP,-28.800000000002157
9,2022-03-01 17:10:00,1.10892,1.10956,1.10891,39.12477265815412,,1.10949,BUY,1.11041,2022-03-01 17:18:00,TG,27.599999999994296
10,2022-03-01 17:38:00,1.11164,1.11166,1.11099,53.08934850792675,,1.11099,SELL,1.11211,2022-03-01 17:48:00,SLP,-33.60000000000029
11,2022-03-01 18:02:00,1.11071,1.1108,1.11045,31.63212422663524,,1.11076,BUY,1.11048,2022-03-01 18:11:00,SLPR,-8.40000000000174
12,2022-03-01 18:29:00,1.10988,1.11006,1.10985,35.62718102953002,,1.11001,BUY,1.11211,2022-03-01 18:48:00,TG,62.99999999999972
