date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2022-06-02 07:29:00,1.06842,1.06808,1.06843,1.06804,1.06856,1.06823,1.06856,1.06818,220
2022-06-02 07:30:00,1.06808,1.06777,1.06813,1.06774,1.06822,1.0679,1.06828,1.06788,266
2022-06-02 07:31:00,1.06777,1.06776,1.06785,1.06774,1.06789,1.06789,1.06799,1.06788,188
2022-06-02 07:32:00,1.06777,1.06784,1.06786,1.06776,1.06789,1.06798,1.06799,1.06789,146
2022-06-02 07:33:00,1.06784,1.06774,1.06787,1.06768,1.06797,1.06789,1.06801,1.06781,209
2022-06-02 07:34:00,1.06774,1.06789,1.06795,1.06774,1.06788,1.06804,1.06807,1.06787,145
2022-06-02 07:35:00,1.0679,1.06791,1.06791,1.0678,1.06804,1.06804,1.06806,1.06794,103
2022-06-02 07:36:00,1.0679,1.06835,1.06836,1.06788,1.06804,1.06848,1.0685,1.06801,234
2022-06-02 07:37:00,1.06836,1.0683,1.06836,1.06823,1.06848,1.06843,1.06849,1.06835,146
2022-06-02 07:38:00,1.06831,1.06873,1.06877,1.0683,1.06843,1.06887,1.06889,1.06843,311
2022-06-02 07:39:00,1.06874,1.06898,1.06912,1.06864,1.06887,1.06911,1.06924,1.06879,297
2022-06-02 07:40:00,1.06898,1.06881,1.06901,1.06874,1.06912,1.06894,1.06915,1.06889,239
2022-06-02 07:41:00,1.0688,1.06888,1.06888,1.06871,1.06894,1.069,1.06901,1.06886,190
2022-06-02 07:42:00,1.06886,1.06897,1.06905,1.06885,1.069,1.0691,1.0692,1.06899,187
2022-06-02 07:43:00,1.06897,1.06894,1.06912,1.0689,1.06911,1.06908,1.06926,1.06905,245
2022-06-02 07:44:00,1.06893,1.06896,1.06907,1.06888,1.06908,1.06911,1.0692,1.06903,299
2022-06-02 07:45:00,1.06896,1.06896,1.06906,1.06887,1.0691,1.06909,1.0692,1.06901,181
2022-06-02 07:46:00,1.06897,1.06902,1.06909,1.06893,1.06911,1.06917,1.06924,1.06908,197
2022-06-02 07:47:00,1.06903,1.06909,1.06915,1.06903,1.06917,1.06923,1.06929,1.06917,203
2022-06-02 07:48:00,1.0691,1.06891,1.06911,1.06891,1.06923,1.06903,1.06924,1.06903,100
2022-06-02 07:49:00,1.06891,1.06877,1.06891,1.0687,1.06904,1.06889,1.06904,1.06884,119
2022-06-02 07:50:00,1.06876,1.06861,1.06877,1.06861,1.06889,1.06875,1.0689,1.06873,191
2022-06-02 07:51:00,1.06862,1.06859,1.06862,1.06848,1.06875,1.06872,1.06875,1.0686,166
2022-06-02 07:52:00,1.06859,1.06852,1.06862,1.06847,1.06873,1.06865,1.06874,1.06861,122
2022-06-02 07:53:00,1.06851,1.06852,1.06861,1.06849,1.06865,1.06865,1.06873,1.06863,113
2022-06-02 07:54:00,1.06851,1.06885,1.06885,1.06851,1.06866,1.069,1.069,1.06865,237
2022-06-02 07:55:00,1.06885,1.06872,1.06886,1.06869,1.06899,1.06887,1.069,1.06883,126
2022-06-02 07:56:00,1.06872,1.06869,1.06877,1.06861,1.06886,1.06882,1.06889,1.06873,146
2022-06-02 07:57:00,1.0687,1.06856,1.06886,1.06854,1.06882,1.06868,1.06899,1.06867,179
2022-06-02 07:58:00,1.06856,1.06856,1.06865,1.0684,1.06869,1.06869,1.06878,1.06853,266
2022-06-02 07:59:00,1.06856,1.06851,1.06862,1.06839,1.06868,1.06863,1.06874,1.06851,193
2022-06-02 08:00:00,1.06851,1.06862,1.06864,1.06846,1.06864,1.06874,1.06877,1.06858,276
2022-06-02 08:01:00,1.06861,1.06858,1.06872,1.06855,1.06874,1.06872,1.06885,1.06869,132
2022-06-02 08:02:00,1.06858,1.06842,1.06858,1.06836,1.06871,1.06855,1.06871,1.06849,186
2022-06-02 08:03:00,1.06841,1.06845,1.06849,1.06837,1.06855,1.06858,1.06861,1.0685,135
2022-06-02 08:04:00,1.06845,1.06876,1.06877,1.06841,1.06857,1.06889,1.06889,1.06854,157
2022-06-02 08:05:00,1.06876,1.06916,1.06917,1.06872,1.06888,1.06928,1.06929,1.06884,198
2022-06-02 08:06:00,1.06915,1.06903,1.06917,1.06894,1.06928,1.06916,1.06929,1.06907,127
2022-06-02 08:07:00,1.06903,1.06895,1.06909,1.06892,1.06915,1.06909,1.06922,1.06905,155
