,Index,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
0,2022-02-17 07:54:00,1.13724,1.13724,1.13692,53.288279921501406,,1.13695,SELL,1.13682,2022-02-17 08:33:00,TG,3.8999999999989043
1,2022-02-17 09:12:00,1.13436,1.13475,1.13424,34.93793421269771,,1.13473,BUY,1.13556,2022-02-17 09:26:00,TG,24.89999999999659
2,2022-02-17 09:59:00,1.13627,1.13638,1.13606,60.67840185385027,,1.13607,SELL,1.13658,2022-02-17 10:26:00,SLPR,-15.300000000000313
3,2022-02-17 11:39:00,1.13647,1.13663,1.13646,30.181825673063997,,1.13651,BUY,1.1363,2022-02-17 11:49:00,SLPR,-6.299999999994643
4,2022-02-17 12:29:00,1.13751,1.13751,1.13729,62.725252340176006,,1.1374,SELL,1.1377,2022-02-17 12:59:00,SLPR,-8.999999999999009
5,2022-02-17 13:09:00,1.13675,1.13722,1.13672,45.17411277159669,,1.13721,BUY,1.13668,2022-02-17 13:12:00,SL,-15.900000000004244
6,2022-02-17 13:19:00,1.13602,1.13642,1.13601,36.70060393263513,,1.13633,BUY,1.13596,2022-02-17 13:47:00,SLPR,-11.099999999999444
7,2022-02-17 15:14:00,1.13722,1.13724,1.13684,68.83701370363387,,1.13707,SELL,1.13629,2022-02-17 15:20:00,TG,23.400000000000087
8,2022-02-17 15:27:00,1.13545,1.13569,1.1354,33.167095254462595,,1.13561,BUY,1.13622,2022-02-17 15:45:00,TG,18.299999999999983
9,2022-02-17 16:16:00,1.13737,1.13741,1.1371,58.92905371708729,,1.13714,SELL,1.13635,2022-02-17 16:23:00,TG,23.700000000002053
10,2022-02-17 17:01:00,1.13594,1.13622,1.13593,37.50908122725324,,1.13618,BUY,1.13662,2022-02-17 17:22:00,TGP,13.199999999999878
11,2022-02-17 17:22:00,1.13672,1.1369,1.13659,65.0691846281168,,1.13662,SELL,1.13586,2022-02-17 17:59:00,TG,22.799999999996157
12,2022-02-17 17:59:00,1.13581,1.13592,1.1358,33.24505519279309,,1.13586,BUY,1.13618,2022-02-17 18:30:00,TGP,9.599999999996278
13,2022-02-17 18:30:00,1.1363,1.13631,1.13613,57.66933223447026,,1.13618,SELL,0.0,0,0,0.0
14,2022-02-17 19:40:00,1.13665,1.13665,1.13652,61.82365663406488,,1.13654,SELL,1.13587,2022-02-17 20:11:00,TG,20.100000000005114
15,2022-02-17 20:11:00,1.13567,1.13587,1.13567,41.28251070535231,,1.13587,BUY,0.0,0,0,0.0
16,2022-02-17 20:52:00,1.13588,1.13603,1.13587,43.89557775756714,,1.136,BUY,1.13572,2022-02-17 21:59:00,SLPR,-8.399999999995078
17,2022-02-17 23:00:00,1.13602,1.13615,1.13592,49.13547468539822,,1.13609,BUY,1.13664,2022-02-17 23:16:00,TGP,16.500000000001513
18,2022-02-17 23:16:00,1.13686,1.13686,1.13663,53.20495111118926,,1.13664,SELL,1.1365,2022-02-18 00:00:00,TGP,4.20000000000087
19,2022-02-18 00:00:00,1.13632,1.1365,1.13627,42.84299833618375,,1.1365,BUY,1.13656,2022-02-18 01:35:00,TGP,1.7999999999984695
20,2022-02-18 01:35:00,1.13667,1.13667,1.13655,66.70246813973287,,1.13656,SELL,1.13698,2022-02-18 01:54:00,SLPR,-12.60000000000261
21,2022-02-18 02:42:00,1.13632,1.13635,1.1363,31.57003459041914,,1.13635,BUY,1.13664,2022-02-18 02:59:00,TGP,8.700000000003705
22,2022-02-18 02:59:00,1.13674,1.13676,1.13664,58.212793737356336,,1.13664,SELL,1.13691,2022-02-18 03:32:00,SLPR,-8.099999999999774
23,2022-02-18 05:03:00,1.13636,1.13643,1.13635,39.79970540897784,,1.13642,BUY,1.13657,2022-02-18 05:51:00,TGP,4.500000000002835
24,2022-02-18 05:51:00,1.13661,1.13662,1.13656,65.56470147238184,,1.13657,SELL,0.0,0,0,0.0
25,2022-02-18 07:33:00,1.13674,1.13697,1.1367,48.56886570315026,,1.13697,BUY,1.13655,2022-02-18 08:06:00,SLPR,-12.60000000000261
26,2022-02-18 09:24:00,1.13671,1.13691,1.1367,45.93257509650546,,1.1369,BUY,1.13655,2022-02-18 10:09:00,SLPR,-10.500000000002174
27,2022-02-18 11:31:00,1.13483,1.13497,1.13477,32.79235508796366,,1.13497,BUY,1.13588,2022-02-18 11:55:00,TG,27.29999999999899
28,2022-02-18 12:58:00,1.13573,1.13588,1.13568,31.198737879086067,,1.13587,BUY,1.1354,2022-02-18 13:10:00,SLPR,-14.099999999999113
29,2022-02-18 13:41:00,1.13592,1.13608,1.13581,64.643684667659,,1.13581,SELL,1.13504,2022-02-18 13:58:00,TG,23.099999999998122
30,2022-02-18 13:58:00,1.13498,1.1351,1.13493,33.170257952076284,,1.13504,BUY,0.0,0,0,0.0
31,2022-02-18 15:20:00,1.13462,1.13462,1.13454,57.03422589034627,,1.13454,SELL,1.13345,2022-02-18 15:49:00,TG,32.70000000000106
32,2022-02-18 15:49:00,1.13281,1.13357,1.13267,45.25274279330342,,1.13345,BUY,1.13371,2022-02-18 15:53:00,TG,7.799999999997809
33,2022-02-18 16:09:00,1.13272,1.13296,1.13268,31.07870443139589,,1.13287,BUY,1.13321,2022-02-18 16:34:00,TG,10.200000000000209
34,2022-02-18 17:05:00,1.13237,1.13262,1.13227,42.90520128471556,,1.13257,BUY,1.13208,2022-02-18 17:19:00,SLPR,-14.700000000003044
35,2022-02-18 17:43:00,1.13236,1.13236,1.13192,51.71218569477559,,1.13194,SELL,0.0,0,0,0.0
36,2022-02-18 18:22:00,1.13286,1.13288,1.13281,68.41059748447555,,1.13283,SELL,0.0,0,0,0.0
37,2022-02-18 19:33:00,1.13349,1.13351,1.13328,58.942590012237176,,1.13329,SELL,1.13287,2022-02-18 20:05:00,TGP,12.599999999995948
38,2022-02-18 20:05:00,1.1328,1.13289,1.13272,34.1261571880281,,1.13287,BUY,1.13257,2022-02-18 20:31:00,SLPR,-8.999999999999009
39,2022-02-18 20:34:00,1.13239,1.1325,1.13237,30.84512481735328,,1.13242,BUY,1.13269,2022-02-18 21:16:00,TGP,8.099999999999774
40,2022-02-18 21:16:00,1.13272,1.13272,1.13266,65.04789515883753,,1.13269,SELL,1.13231,2022-02-18 21:49:00,TGP,11.400000000001409
41,2022-02-18 21:49:00,1.13226,1.13232,1.13226,30.71116010310446,,1.13231,BUY,1.13201,2022-02-18 21:57:00,SLPR,-8.999999999999009
42,2022-02-20 20:31:00,1.13096,1.13136,1.13096,52.733439006049935,,1.13136,BUY,1.13199,2022-02-20 22:13:00,TG,18.900000000003914
43,2022-02-20 22:13:00,1.13246,1.13246,1.1318,48.9776871501178,,1.13199,SELL,1.13183,2022-02-20 23:02:00,TGP,4.8000000000048
44,2022-02-20 23:02:00,1.13168,1.13187,1.13162,39.31199250619763,,1.13183,BUY,1.13222,2022-02-20 23:20:00,TGP,11.700000000003374
45,2022-02-20 23:20:00,1.1323,1.1323,1.13221,63.73878079851506,,1.13222,SELL,1.13145,2022-02-20 23:36:00,TG,23.099999999998122
46,2022-02-20 23:49:00,1.13186,1.13186,1.13181,67.47883937429242,,1.13183,SELL,1.13155,2022-02-21 00:03:00,TGP,8.399999999995078
47,2022-02-21 00:03:00,1.13134,1.13155,1.13134,48.78273260933336,,1.13155,BUY,1.13191,2022-02-21 00:42:00,TGP,10.799999999997478
48,2022-02-21 00:42:00,1.13194,1.13194,1.13187,67.03758013506848,,1.13191,SELL,0.0,0,0,0.0
49,2022-02-21 01:13:00,1.13354,1.13354,1.13325,61.826663158038436,,1.13332,SELL,1.13388,2022-02-21 01:34:00,SLPR,-16.799999999996817
50,2022-02-21 03:17:00,1.13598,1.13598,1.13589,67.87405989176044,,1.13595,SELL,0.0,0,0,0.0
51,2022-02-21 04:28:00,1.13581,1.13585,1.13581,30.91410432618197,,1.13583,BUY,1.13598,2022-02-21 04:45:00,TGP,4.500000000002835
52,2022-02-21 04:45:00,1.13608,1.13608,1.13591,56.625371819512075,,1.13598,SELL,0.0,0,0,0.0
53,2022-02-21 05:05:00,1.13629,1.13629,1.13613,62.51537927639281,,1.13623,SELL,1.13645,2022-02-21 06:09:00,SLPR,-6.599999999996609
54,2022-02-21 05:59:00,1.13636,1.13636,1.13619,49.19928973467886,,1.13619,SELL,0.0,0,0,0.0
55,2022-02-21 06:30:00,1.13685,1.13686,1.13661,60.378581713488494,,1.13671,SELL,1.13727,2022-02-21 07:01:00,SLPR,-16.799999999996817
56,2022-02-21 08:38:00,1.13634,1.13696,1.13634,38.084963325177625,,1.13684,BUY,0.0,0,0,0.0
57,2022-02-21 09:04:00,1.13565,1.13586,1.13565,38.209331045089286,,1.13586,BUY,1.13647,2022-02-21 09:12:00,TG,18.299999999999983
58,2022-02-21 09:36:00,1.13667,1.13674,1.13636,52.20902739522272,,1.13639,SELL,1.13609,2022-02-21 09:47:00,TGP,8.999999999999009
59,2022-02-21 09:47:00,1.1358,1.13609,1.13579,45.338648779985675,,1.13609,BUY,1.13561,2022-02-21 10:57:00,SLPR,-14.400000000001079
60,2022-02-21 12:29:00,1.13468,1.13468,1.13458,63.115892578731454,,1.13459,SELL,1.13376,2022-02-21 12:54:00,TG,24.89999999999659
61,2022-02-21 13:20:00,1.13302,1.13314,1.13294,31.323825917688993,,1.13312,BUY,1.13283,2022-02-21 13:43:00,SLPR,-8.699999999997043
62,2022-02-21 14:18:00,1.13453,1.13453,1.13412,66.3404950902913,,1.13419,SELL,1.13319,2022-02-21 14:38:00,TG,30.000000000003357
63,2022-02-21 15:10:00,1.13434,1.13439,1.13402,65.90102647939975,,1.13404,SELL,1.1334,2022-02-21 15:19:00,TG,19.199999999999218
64,2022-02-21 15:28:00,1.13257,1.1331,1.13256,48.01710788812905,,1.1331,BUY,1.13357,2022-02-21 15:43:00,TG,14.099999999999113
65,2022-02-21 16:51:00,1.13446,1.13449,1.13438,64.81845445314843,,1.13438,SELL,1.13387,2022-02-21 17:45:00,TGP,15.300000000000313
66,2022-02-21 17:45:00,1.13374,1.13387,1.1336,31.827701973226937,,1.13387,BUY,1.13351,2022-02-21 18:03:00,SLPR,-10.799999999997478
67,2022-02-21 18:40:00,1.13278,1.1328,1.13276,68.86081192807262,,1.13276,SELL,1.13206,2022-02-21 18:52:00,TGP,20.999999999997687
68,2022-02-21 18:52:00,1.13202,1.13208,1.13201,32.81327384557589,,1.13206,BUY,0.0,0,0,0.0
69,2022-02-21 19:21:00,1.13065,1.13085,1.13062,42.65764552064906,,1.13085,BUY,1.13177,2022-02-21 19:52:00,TG,27.600000000000957
70,2022-02-21 20:16:00,1.13099,1.13105,1.13099,34.923563702639825,,1.13105,BUY,1.13115,2022-02-21 20:48:00,TGP,2.9999999999996696
71,2022-02-21 20:48:00,1.1312,1.13121,1.13115,68.70858939714252,,1.13115,SELL,1.13086,2022-02-21 21:41:00,TGP,8.700000000003705
72,2022-02-21 21:31:00,1.13129,1.13154,1.13129,50.766659162015486,,1.13152,BUY,0.0,0,0,0.0
73,2022-02-21 22:00:00,1.13074,1.1308,1.13064,37.36320661607654,,1.1308,BUY,1.13061,2022-02-21 23:01:00,SLPR,-5.700000000004035
74,2022-02-21 23:26:00,1.12968,1.13008,1.12967,54.416301911430004,,1.13006,BUY,1.13025,2022-02-21 23:40:00,TGP,5.699999999997374
75,2022-02-21 23:40:00,1.13052,1.13053,1.13025,52.10202992480242,,1.13025,SELL,1.12985,2022-02-21 23:44:00,TGP,11.999999999998678
76,2022-02-21 23:44:00,1.12964,1.12985,1.12964,40.29987058027752,,1.12985,BUY,1.13075,2022-02-22 00:01:00,TG,26.999999999997026
77,2022-02-22 00:01:00,1.13084,1.13084,1.13075,66.04189076766441,,1.13075,SELL,1.1306,2022-02-22 01:13:00,TGP,4.499999999996174
78,2022-02-22 01:08:00,1.13067,1.13102,1.13067,41.15341729976789,,1.13097,BUY,0.0,0,0,0.0
79,2022-02-22 02:58:00,1.13005,1.13022,1.13004,33.89385166061726,,1.13017,BUY,1.12984,2022-02-22 03:14:00,SLPR,-9.899999999998244
80,2022-02-22 03:42:00,1.12891,1.1291,1.12887,32.96616622587729,,1.12906,BUY,1.1298,2022-02-22 04:24:00,TG,22.199999999998887
