,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
2022-03-03 01:06:00,1.10949,1.10993,1.10949,43.586405057027115,,1.10992,BUY,1.10917,2022-03-03 02:04:00,SLPR,-22.500000000000853
2022-03-03 02:28:00,1.10987,1.10989,1.10982,69.00339379408447,,1.10987,SELL,1.10982,2022-03-03 03:20:00,TGP,1.4999999999965041
2022-03-03 03:13:00,1.10986,1.11003,1.10986,37.04406624004135,,1.11002,BUY,1.11005,2022-03-03 04:07:00,TGP,0.8999999999992347
2022-03-03 04:07:00,1.11014,1.11015,1.10998,60.32208283787198,,1.11005,SELL,1.10982,2022-03-03 04:35:00,TGP,6.899999999998574
2022-03-03 04:35:00,1.10969,1.1099,1.10969,44.775618861745265,,1.10982,BUY,1.11022,2022-03-03 05:16:00,TGP,11.999999999998678
2022-03-03 05:16:00,1.11029,1.11029,1.11017,65.7135258656078,,1.11022,SELL,1.10988,2022-03-03 06:14:00,TGP,10.200000000000209
2022-03-03 06:12:00,1.10948,1.10966,1.10948,30.015826867203288,,1.10961,BUY,1.10993,2022-03-03 06:41:00,TGP,9.60000000000294
2022-03-03 06:41:00,1.11013,1.11015,1.10992,56.95396898520074,,1.10993,SELL,1.10963,2022-03-03 07:18:00,TGP,9.00000000000567
2022-03-03 06:58:00,1.11048,1.11048,1.11032,63.78597609223429,,1.11035,SELL,1.10928,2022-03-03 07:49:00,TG,32.09999999999713
2022-03-03 07:18:00,1.10959,1.10964,1.10953,30.53578709055091,,1.10963,BUY,1.10918,2022-03-03 07:46:00,SLPR,-13.499999999995183
2022-03-03 07:20:00,1.10948,1.10963,1.10946,35.37613761985324,,1.10962,BUY,1.10918,2022-03-03 07:46:00,SLPR,-13.199999999999878
2022-03-03 07:49:00,1.1091,1.10932,1.10906,38.147993678165186,,1.10928,BUY,1.10887,2022-03-03 08:06:00,SLPR,-12.300000000000644
2022-03-03 08:34:00,1.10872,1.10896,1.10869,32.86115975384777,,1.10884,BUY,1.10839,2022-03-03 08:46:00,SLPR,-13.500000000001844
2022-03-03 08:49:00,1.10824,1.10847,1.10824,30.705168601593527,,1.10836,BUY,1.10908,2022-03-03 09:03:00,TG,21.600000000001618
2022-03-03 08:52:00,1.1082,1.10864,1.10819,44.22673983160791,,1.10858,BUY,1.10899,2022-03-03 09:04:00,TG,12.300000000000644
2022-03-03 09:21:00,1.10765,1.10802,1.10765,37.41754779303436,,1.10795,BUY,1.10739,2022-03-03 09:29:00,SLPR,-16.799999999996817
2022-03-03 09:30:00,1.10738,1.10781,1.10735,44.318428569754246,,1.10781,BUY,1.10818,2022-03-03 09:53:00,TGP,11.099999999999444
2022-03-03 09:53:00,1.10818,1.10836,1.10808,68.93161145654877,,1.10818,SELL,1.10842,2022-03-03 10:10:00,SLPR,-7.200000000000539
2022-03-03 09:55:00,1.10828,1.1083,1.10781,52.60059920582313,,1.10787,SELL,1.10842,2022-03-03 10:10:00,SL,-16.500000000001513
2022-03-03 10:17:00,1.1086,1.1086,1.10841,61.54336668310817,,1.10846,SELL,1.10832,2022-03-03 11:06:00,TGP,4.20000000000087
2022-03-03 10:42:00,1.10924,1.10925,1.1091,64.58374226267811,,1.1091,SELL,1.10801,2022-03-03 11:19:00,TG,32.70000000000106
2022-03-03 11:06:00,1.10829,1.10838,1.10821,32.54957249910903,,1.10832,BUY,1.10808,2022-03-03 11:38:00,SLPR,-7.200000000000539
2022-03-03 12:06:00,1.10912,1.10915,1.10896,63.703196539806164,,1.10896,SELL,1.10923,2022-03-03 12:18:00,SLPR,-8.099999999999774
2022-03-03 12:18:00,1.10928,1.10939,1.10919,68.38467586541759,,1.10923,SELL,1.10877,2022-03-03 12:40:00,TGP,13.799999999997148
2022-03-03 12:40:00,1.10864,1.1088,1.10863,37.731995184939755,,1.10877,BUY,1.10851,2022-03-03 12:53:00,SLPR,-7.799999999997809
2022-03-03 13:02:00,1.10747,1.10772,1.10744,32.43926929896969,,1.10768,BUY,1.1069,2022-03-03 13:49:00,SLPR,-23.400000000000087
2022-03-03 13:52:00,1.10658,1.10694,1.10648,37.170025824429565,,1.10689,BUY,1.10792,2022-03-03 14:05:00,TG,30.900000000002592
2022-03-03 14:01:00,1.10857,1.10857,1.10804,57.32892422718489,,1.10804,SELL,1.10879,2022-03-03 14:10:00,SLPR,-22.500000000000853
2022-03-03 14:04:00,1.10941,1.10942,1.10834,54.39427330553713,,1.10835,SELL,1.10895,2022-03-03 14:11:00,SL,-18.00000000000468
2022-03-03 14:50:00,1.10778,1.10806,1.10768,34.86378500814922,,1.10803,BUY,1.10749,2022-03-03 15:04:00,SLPR,-16.199999999999548
2022-03-03 15:25:00,1.10647,1.10689,1.10642,37.958290797344844,,1.10689,BUY,0.0,0,0,0.0
2022-03-03 15:37:00,1.10592,1.10621,1.10577,40.17426827928044,,1.1062,BUY,1.10518,2022-03-03 16:06:00,SLPR,-30.600000000000627
2022-03-03 16:10:00,1.10503,1.10535,1.10482,32.2560930907096,,1.1052,BUY,1.10469,2022-03-03 16:38:00,SLPR,-15.300000000000313
2022-03-03 16:17:00,1.10411,1.10457,1.10411,37.943582659718004,,1.10452,BUY,1.10479,2022-03-03 16:39:00,TG,8.099999999999774
2022-03-03 17:26:00,1.10355,1.1042,1.10355,41.451957270336756,,1.10412,BUY,1.10574,2022-03-03 17:40:00,TG,48.599999999998644
2022-03-03 17:36:00,1.10622,1.10624,1.10537,63.48454783212162,,1.10559,SELL,1.10482,2022-03-03 17:48:00,TG,23.100000000004783
2022-03-03 18:56:00,1.10654,1.10655,1.10634,66.6691096633698,,1.10649,SELL,1.10583,2022-03-03 19:41:00,TGP,19.799999999996487
2022-03-03 19:39:00,1.10569,1.10589,1.10569,37.06642186518103,,1.10588,BUY,1.10637,2022-03-03 21:07:00,TGP,14.700000000003044
2022-03-03 21:07:00,1.10648,1.10649,1.10637,58.66791543430436,,1.10637,SELL,1.10645,2022-03-03 22:03:00,TGP,-2.399999999995739
2022-03-03 22:03:00,1.1062,1.10645,1.1062,50.74650843444526,,1.10645,BUY,1.10656,2022-03-03 23:43:00,TGP,3.300000000001635
2022-03-03 23:24:00,1.10632,1.10643,1.1063,33.632142678747286,,1.10637,BUY,1.10656,2022-03-03 23:43:00,TGP,5.699999999997374
2022-03-03 23:43:00,1.10669,1.1067,1.10656,56.44929451208205,,1.10656,SELL,1.10628,2022-03-04 00:03:00,TGP,8.40000000000174
2022-03-04 00:03:00,1.10625,1.10629,1.10625,33.325747699359695,,1.10628,BUY,0.0,0,0,0.0
2022-03-04 00:28:00,1.10256,1.10315,1.10253,39.002988206517045,,1.10306,BUY,1.1022,2022-03-04 00:36:00,SL,-25.799999999995826
2022-03-04 00:41:00,1.10142,1.10189,1.10138,33.5123141431028,,1.10175,BUY,1.10121,2022-03-04 00:54:00,SL,-16.199999999999548
2022-03-04 01:05:00,1.10245,1.10253,1.10212,60.86483018121711,,1.10215,SELL,1.102,2022-03-04 01:18:00,TG,4.499999999996174
2022-03-04 01:53:00,1.10464,1.10464,1.10387,67.00173039792026,,1.10393,SELL,1.10448,2022-03-04 01:56:00,SL,-16.499999999994852
2022-03-04 02:00:00,1.10482,1.10488,1.10432,62.40985298846164,,1.1044,SELL,1.10399,2022-03-04 02:14:00,TG,12.300000000000644
2022-03-04 02:54:00,1.10251,1.10299,1.1025,35.05725375167739,,1.10285,BUY,1.10227,2022-03-04 03:21:00,SLPR,-17.400000000000748
2022-03-04 03:08:00,1.10209,1.10271,1.10209,48.57478387504642,,1.10269,BUY,1.10287,2022-03-04 03:38:00,TGP,5.40000000000207
2022-03-04 03:54:00,1.10234,1.10242,1.10214,35.45286218634317,,1.1024,BUY,1.10318,2022-03-04 04:33:00,TG,23.400000000000087
2022-03-04 04:22:00,1.10312,1.10312,1.10306,65.05392448661108,,1.10306,SELL,1.10336,2022-03-04 04:47:00,SLPR,-8.999999999999009
2022-03-04 04:43:00,1.1036,1.1036,1.10351,69.76331856203431,,1.10354,SELL,1.10376,2022-03-04 05:04:00,SLPR,-6.60000000000327
2022-03-04 05:05:00,1.10376,1.10382,1.1036,59.78139731718469,,1.10363,SELL,1.10313,2022-03-04 05:30:00,TGP,15.00000000000501
2022-03-04 05:30:00,1.1031,1.10317,1.10302,30.043275426387154,,1.10313,BUY,0.0,0,0,0.0
2022-03-04 05:52:00,1.10242,1.10256,1.10242,35.070608333920035,,1.1025,BUY,1.1028,2022-03-04 06:26:00,TGP,8.999999999999009
2022-03-04 06:26:00,1.10309,1.10309,1.10278,50.00454630887985,,1.1028,SELL,1.10151,2022-03-04 07:00:00,TG,38.7000000000004
2022-03-04 06:48:00,1.10163,1.10202,1.10161,36.02230531525687,,1.10193,BUY,1.1014,2022-03-04 06:57:00,SLPR,-15.900000000004244
2022-03-04 06:58:00,1.10141,1.10161,1.10141,35.424009235801535,,1.10158,BUY,1.10128,2022-03-04 07:12:00,SLPR,-8.999999999999009
2022-03-04 09:04:00,1.10173,1.10175,1.10161,67.52387503934972,,1.10164,SELL,1.10139,2022-03-04 09:41:00,TGP,7.499999999995843
2022-03-04 09:39:00,1.10151,1.1016,1.10148,33.9465665914112,,1.10158,BUY,1.10215,2022-03-04 09:53:00,TGP,17.099999999998783
2022-03-04 09:53:00,1.10226,1.10229,1.10211,65.29739360779172,,1.10215,SELL,1.10122,2022-03-04 10:06:00,TG,27.89999999999626
2022-03-04 09:57:00,1.10235,1.10235,1.10183,50.31084429993503,,1.10194,SELL,1.10091,2022-03-04 10:12:00,TG,30.89999999999593
