,bidopen,max_bid,min_bid,small_sma_8,large_sma_16,rsi,sma_signal,sma_signal_1,entry_price,entry_signal,exit_price,exit_time,status,pl
2022-03-03 02:28:00,1.10987,1.10989,1.10982,1.1096525,1.109479375,69.00339379408447,,,1.10987,SELL,1.10982,2022-03-03 03:20:00,TGP,1.4999999999965041
2022-03-03 03:13:00,1.10986,1.11003,1.10986,1.11008375,1.110283125,37.04406624004135,,,1.11002,BUY,1.11005,2022-03-03 04:07:00,TGP,0.8999999999992347
2022-03-03 04:07:00,1.11014,1.11015,1.10998,1.1101075,1.1099275,60.32208283787198,,,1.11005,SELL,1.10982,2022-03-03 04:35:00,TGP,6.899999999998574
2022-03-03 05:16:00,1.11029,1.11029,1.11017,1.11025,1.1100693750000001,65.7135258656078,,,1.11022,SELL,1.10961,2022-03-03 06:12:00,TGP,18.299999999999983
2022-03-03 06:12:00,1.10948,1.10966,1.10948,1.1097424999999999,1.10997625,30.015826867203288,,,1.10961,BUY,1.10993,2022-03-03 06:41:00,TGP,9.60000000000294
2022-03-03 06:41:00,1.11013,1.11015,1.10992,1.1098775,1.109719375,56.95396898520074,,,1.10993,SELL,1.10963,2022-03-03 07:18:00,TGP,9.00000000000567
2022-03-03 06:58:00,1.11048,1.11048,1.11032,1.11025625,1.1101106250000001,63.78597609223429,,,1.11035,SELL,1.10962,2022-03-03 07:20:00,TG,21.899999999996922
2022-03-03 07:18:00,1.10959,1.10964,1.10953,1.1099125,1.11014,30.53578709055091,,,1.10963,BUY,1.10918,2022-03-03 07:46:00,SLPR,-13.499999999995183
2022-03-03 07:20:00,1.10948,1.10963,1.10946,1.10971375,1.110046875,35.37613761985324,,,1.10962,BUY,1.10918,2022-03-03 07:46:00,SLPR,-13.199999999999878
2022-03-03 07:49:00,1.1091,1.10932,1.10906,1.1094275,1.10957375,38.147993678165186,,,1.10928,BUY,1.10887,2022-03-03 08:06:00,SLPR,-12.300000000000644
2022-03-03 08:34:00,1.10872,1.10896,1.10869,1.1093375,1.109480625,32.86115975384777,,,1.10884,BUY,1.10839,2022-03-03 08:46:00,SLPR,-13.500000000001844
2022-03-03 08:49:00,1.10824,1.10847,1.10824,1.1087,1.10889875,30.705168601593527,,,1.10836,BUY,1.1091,2022-03-03 08:57:00,TG,22.199999999998887
2022-03-03 08:52:00,1.1082,1.10864,1.10819,1.10845375,1.1087875,44.22673983160791,,,1.10858,BUY,1.10939,2022-03-03 09:01:00,TG,24.300000000005983
2022-03-03 09:21:00,1.10765,1.10802,1.10765,1.1082525,1.108306875,37.41754779303436,,,1.10795,BUY,1.10739,2022-03-03 09:29:00,SLPR,-16.799999999996817
2022-03-03 09:30:00,1.10738,1.10781,1.10735,1.10776,1.1079756250000001,44.318428569754246,,,1.10781,BUY,1.10818,2022-03-03 09:53:00,TGP,11.099999999999444
2022-03-03 09:53:00,1.10818,1.10836,1.10808,1.1078375,1.107588125,68.93161145654877,,,1.10818,SELL,1.10842,2022-03-03 10:10:00,SLPR,-7.200000000000539
2022-03-03 09:55:00,1.10828,1.1083,1.10781,1.10794875,1.10768375,52.60059920582313,,,1.10787,SELL,1.10842,2022-03-03 10:10:00,SL,-16.500000000001513
2022-03-03 10:17:00,1.1086,1.1086,1.10841,1.1084275,1.10830125,61.54336668310817,,,1.10846,SELL,1.10832,2022-03-03 11:06:00,TGP,4.20000000000087
2022-03-03 10:42:00,1.10924,1.10925,1.1091,1.10910375,1.108841875,64.58374226267811,,,1.1091,SELL,1.10843,2022-03-03 11:02:00,TG,20.099999999998452
2022-03-03 11:19:00,1.10788,1.1081,1.10788,1.10798375,1.108086875,41.22471608628841,,,1.10801,BUY,1.10887,2022-03-03 12:03:00,TG,25.800000000002488
2022-03-03 12:18:00,1.10928,1.10939,1.10919,1.108895,1.10886125,68.38467586541759,,UP_CROSSOVER,1.10923,SELL,1.10877,2022-03-03 12:40:00,TGP,13.799999999997148
2022-03-03 12:22:00,1.10948,1.10949,1.10937,1.10924625,1.1089731250000001,69.34461072675536,,,1.1094,SELL,1.10877,2022-03-03 12:40:00,TGP,18.899999999997252
2022-03-03 12:40:00,1.10864,1.1088,1.10863,1.10894375,1.1090600000000002,37.731995184939755,,,1.10877,BUY,1.10851,2022-03-03 12:53:00,SLPR,-7.799999999997809
2022-03-03 13:02:00,1.10747,1.10772,1.10744,1.10762125,1.108219375,32.43926929896969,,,1.10768,BUY,1.1069,2022-03-03 13:49:00,SLPR,-23.400000000000087
2022-03-03 13:52:00,1.10658,1.10694,1.10648,1.107295,1.10756875,37.170025824429565,,,1.10689,BUY,1.10789,2022-03-03 13:57:00,TG,30.000000000003357
2022-03-03 14:01:00,1.10857,1.10857,1.10804,1.1078225,1.107498125,57.32892422718489,,,1.10804,SELL,1.10879,2022-03-03 14:10:00,SLPR,-22.500000000000853
2022-03-03 14:04:00,1.10941,1.10942,1.10834,1.10849125,1.1077025,54.39427330553713,,,1.10835,SELL,1.10895,2022-03-03 14:11:00,SL,-18.00000000000468
2022-03-03 14:50:00,1.10778,1.10806,1.10768,1.10851125,1.1086681250000001,34.86378500814922,,,1.10803,BUY,1.10749,2022-03-03 15:04:00,SLPR,-16.199999999999548
2022-03-03 15:25:00,1.10647,1.10689,1.10642,1.107105,1.107540625,37.958290797344844,,,1.10689,BUY,0.0,0,0,0.0
2022-03-03 16:10:00,1.10503,1.10535,1.10482,1.10552625,1.105854375,32.2560930907096,,,1.1052,BUY,1.10469,2022-03-03 16:38:00,SLPR,-15.300000000000313
2022-03-03 16:17:00,1.10411,1.10457,1.10411,1.1045449999999999,1.105093125,37.943582659718004,,,1.10452,BUY,1.10519,2022-03-03 16:35:00,TG,20.099999999998452
2022-03-03 17:26:00,1.10355,1.1042,1.10355,1.10405625,1.104583125,41.451957270336756,,,1.10412,BUY,1.10559,2022-03-03 17:36:00,TG,44.10000000000247
2022-03-03 17:36:00,1.10622,1.10624,1.10537,1.10481,1.1043349999999998,63.48454783212162,,,1.10559,SELL,1.10479,2022-03-03 17:41:00,TG,24.000000000004018
2022-03-03 18:56:00,1.10654,1.10655,1.10634,1.106345,1.10613125,66.6691096633698,,,1.10649,SELL,1.10588,2022-03-03 19:39:00,TG,18.299999999999983
2022-03-03 19:39:00,1.10569,1.10589,1.10569,1.10591625,1.10614125,37.06642186518103,,,1.10588,BUY,1.10637,2022-03-03 21:07:00,TGP,14.700000000003044
2022-03-03 19:47:00,1.10561,1.10569,1.10554,1.10573875,1.1058275000000002,32.81376013157417,,,1.10566,BUY,1.10637,2022-03-03 21:07:00,TG,21.299999999999653
2022-03-03 22:03:00,1.1062,1.10645,1.1062,1.10640125,1.1064800000000001,50.74650843444526,,,1.10645,BUY,1.10656,2022-03-03 23:43:00,TGP,3.300000000001635
2022-03-03 23:24:00,1.10632,1.10643,1.1063,1.10647875,1.1065075,33.632142678747286,,,1.10637,BUY,1.10656,2022-03-03 23:43:00,TGP,5.699999999997374
2022-03-03 23:43:00,1.10669,1.1067,1.10656,1.10652875,1.10644625,56.44929451208205,,,1.10656,SELL,1.10628,2022-03-04 00:03:00,TGP,8.40000000000174
2022-03-04 00:03:00,1.10625,1.10629,1.10625,1.106445,1.106459375,33.325747699359695,,DOWN_CROSSOVER,1.10628,BUY,0.0,0,0,0.0
2022-03-04 00:41:00,1.10142,1.10189,1.10138,1.102,1.102461875,33.5123141431028,,,1.10175,BUY,1.10121,2022-03-04 00:54:00,SL,-16.199999999999548
2022-03-04 01:05:00,1.10245,1.10253,1.10212,1.1017762500000001,1.1015412500000001,60.86483018121711,,,1.10215,SELL,1.1015,2022-03-04 01:11:00,TG,19.500000000001183
2022-03-04 01:53:00,1.10464,1.10464,1.10387,1.10340125,1.102690625,67.00173039792026,,,1.10393,SELL,1.10448,2022-03-04 01:56:00,SL,-16.499999999994852
2022-03-04 02:00:00,1.10482,1.10488,1.10432,1.10440625,1.1037975,62.40985298846164,,,1.1044,SELL,1.10375,2022-03-04 02:09:00,TG,19.500000000001183
2022-03-04 02:54:00,1.10251,1.10299,1.1025,1.10306,1.1033825,35.05725375167739,,,1.10285,BUY,1.10227,2022-03-04 03:21:00,SLPR,-17.400000000000748
2022-03-04 03:08:00,1.10209,1.10271,1.10209,1.1025212500000001,1.102640625,48.57478387504642,,,1.10269,BUY,1.10287,2022-03-04 03:38:00,TGP,5.40000000000207
2022-03-04 03:54:00,1.10234,1.10242,1.10214,1.1024812499999999,1.1025843750000002,35.45286218634317,,,1.1024,BUY,1.10306,2022-03-04 04:22:00,TGP,19.799999999996487
2022-03-04 04:43:00,1.1036,1.1036,1.10351,1.10345625,1.1033437499999998,69.76331856203431,,,1.10354,SELL,1.10376,2022-03-04 05:04:00,SLPR,-6.60000000000327
2022-03-04 05:05:00,1.10376,1.10382,1.1036,1.10361875,1.103414375,59.78139731718469,,,1.10363,SELL,1.10313,2022-03-04 05:30:00,TGP,15.00000000000501
2022-03-04 05:30:00,1.1031,1.10317,1.10302,1.10320625,1.10343375,30.043275426387154,,,1.10313,BUY,0.0,0,0,0.0
2022-03-04 05:52:00,1.10242,1.10256,1.10242,1.1024962500000002,1.102691875,35.070608333920035,,,1.1025,BUY,1.1028,2022-03-04 06:26:00,TGP,8.999999999999009
2022-03-04 06:26:00,1.10309,1.10309,1.10278,1.10287,1.1027375,50.00454630887985,,,1.1028,SELL,1.10193,2022-03-04 06:48:00,TG,26.09999999999779
2022-03-04 09:04:00,1.10173,1.10175,1.10161,1.1014537500000001,1.101255625,67.52387503934972,,,1.10164,SELL,1.10139,2022-03-04 09:41:00,TGP,7.499999999995843
2022-03-04 09:39:00,1.10151,1.1016,1.10148,1.10171125,1.10188625,33.9465665914112,,,1.10158,BUY,1.10215,2022-03-04 09:53:00,TGP,17.099999999998783
2022-03-04 09:53:00,1.10226,1.10229,1.10211,1.1018375,1.101675625,65.29739360779172,,,1.10215,SELL,1.10145,2022-03-04 10:00:00,TG,20.999999999997687
2022-03-04 09:57:00,1.10235,1.10235,1.10183,1.1021475,1.10186125,50.31084429993503,,,1.10194,SELL,1.10115,2022-03-04 10:05:00,TG,23.69999999999539
2022-03-04 10:10:00,1.10028,1.10057,1.10004,1.10095375,1.101340625,31.22789034145964,,,1.10056,BUY,1.10123,2022-03-04 10:18:00,TG,20.099999999998452
2022-03-04 10:37:00,1.10027,1.10047,1.10019,1.1006975,1.1011425000000001,32.75678455054083,,,1.10044,BUY,1.10024,2022-03-04 10:41:00,SLPR,-5.999999999999339
2022-03-04 11:19:00,1.0985,1.09881,1.09838,1.0988125,1.099405,34.309678948111795,,,1.09867,BUY,0.0,0,0,0.0
2022-03-04 11:40:00,1.09757,1.09762,1.09741,1.09788,1.0981106250000001,31.313405833396942,,,1.09761,BUY,1.0976,2022-03-04 11:44:00,SLPR,-0.30000000000196536
2022-03-04 12:11:00,1.09681,1.09721,1.09658,1.09742875,1.097575,39.856896990142374,,,1.09718,BUY,0.0,0,0,0.0
2022-03-04 12:24:00,1.09651,1.09672,1.09651,1.0967125,1.096850625,31.825812744201627,,,1.09658,BUY,0.0,0,0,0.0
2022-03-04 12:42:00,1.09579,1.09595,1.09575,1.0960775,1.09625,36.527671603174966,,,1.09592,BUY,0.0,0,0,0.0
2022-03-04 13:43:00,1.09018,1.09078,1.08997,1.09119125,1.092348125,32.998694223184216,,,1.09072,BUY,1.09187,2022-03-04 14:14:00,TG,34.49999999999953
2022-03-04 13:53:00,1.08912,1.08942,1.08906,1.08975625,1.09032375,30.9605396135714,,,1.08937,BUY,1.0906,2022-03-04 13:57:00,TG,36.90000000000193
2022-03-04 14:51:00,1.09003,1.09043,1.09001,1.090625,1.0911943750000002,38.87565458337959,,,1.0904,BUY,1.08971,2022-03-04 14:56:00,SLPR,-20.700000000002383
2022-03-04 15:54:00,1.09231,1.09232,1.09179,1.0909925,1.090735625,67.50257211685064,,,1.09195,SELL,1.09106,2022-03-04 16:34:00,TG,26.700000000001722
2022-03-04 16:34:00,1.09089,1.09123,1.09088,1.09134125,1.0913893749999999,36.98062743556433,,,1.09106,BUY,1.09172,2022-03-04 16:39:00,TG,19.80000000000315
2022-03-04 17:17:00,1.09224,1.09227,1.09196,1.09167375,1.0914537500000001,65.72298308623567,,,1.09211,SELL,1.09231,2022-03-04 17:38:00,SLPR,-5.999999999999339
2022-03-04 18:10:00,1.09309,1.0931,1.09285,1.0927375,1.09255875,61.39094368044459,,,1.09288,SELL,1.09324,2022-03-04 18:55:00,SLPR,-10.799999999997478
2022-03-04 18:55:00,1.09326,1.09329,1.09322,1.0930737499999998,1.0928200000000001,69.06676780600108,,,1.09324,SELL,1.09241,2022-03-04 19:17:00,TG,24.89999999999659
2022-03-04 19:01:00,1.09337,1.09337,1.09284,1.0931899999999999,1.0930674999999999,43.56139387880464,DOWN_CROSSOVER,,1.09288,SELL,1.0934,2022-03-04 19:31:00,SL,-15.599999999995617
2022-03-04 19:32:00,1.0934,1.09343,1.09331,1.093215,1.0929393749999998,69.36617079220943,,,1.09339,SELL,1.0925,2022-03-04 19:47:00,TG,26.700000000001722
2022-03-04 19:35:00,1.09356,1.09356,1.0933,1.0933350000000002,1.0931187500000001,58.12867858160402,,,1.09331,SELL,1.0925,2022-03-04 19:47:00,TG,24.299999999999322
2022-03-04 19:47:00,1.09235,1.0925,1.09235,1.09271625,1.093003125,34.430677524626134,,,1.0925,BUY,1.09196,2022-03-04 20:49:00,SLPR,-16.199999999999548
2022-03-04 20:00:00,1.09122,1.0915,1.09122,1.0916000000000001,1.0920174999999999,30.86470994828592,,,1.09134,BUY,1.09216,2022-03-04 20:34:00,TG,24.600000000001288
2022-03-04 20:29:00,1.09245,1.09248,1.09226,1.0920825,1.091815,67.5850893722255,,,1.09237,SELL,1.09253,2022-03-04 20:41:00,SLPR,-4.799999999998139
2022-03-04 21:00:00,1.09337,1.0934,1.09305,1.09285875,1.09258875,66.58247735932363,,,1.09315,SELL,1.09273,2022-03-04 21:25:00,TGP,12.60000000000261
2022-03-04 21:25:00,1.09269,1.09279,1.09269,1.09296875,1.093019375,30.47583936448551,,,1.09273,BUY,1.09362,2022-03-04 21:50:00,TG,26.700000000001722
2022-03-04 21:46:00,1.09358,1.09358,1.09347,1.09332625,1.09301375,69.12516404762204,,,1.09348,SELL,1.09251,2022-03-04 21:58:00,TG,29.09999999999746
2022-03-04 21:50:00,1.09373,1.09375,1.09345,1.09356625,1.0932593750000001,66.86901445745688,,,1.09362,SELL,1.09297,2022-03-04 21:55:00,TG,19.500000000001183
2022-03-06 20:10:00,1.0929,1.0929,1.0929,1.0931899999999999,1.09341375,33.596359743189,,,1.0929,BUY,1.09275,2022-03-06 20:17:00,SLPR,-4.499999999996174
2022-03-06 20:48:00,1.09177,1.09177,1.09177,1.09226,1.09252,30.257120589385366,,,1.09177,BUY,1.09249,2022-03-06 21:37:00,TG,21.600000000001618
2022-03-06 21:37:00,1.09258,1.09258,1.09249,1.0923775,1.092205625,64.41841331598401,,,1.09249,SELL,1.09283,2022-03-06 22:08:00,SLPR,-10.200000000000209
