,exit_time,entry_signal,pl,entry_price,exit_price,status
2022-02-01 00:49:00,0,BUY,0.0,1.12228,0.0,0
2022-02-01 00:56:00,2022-02-01 01:18:00,BUY,5.1000000000001044,1.12219,1.12236,TGP
2022-02-01 01:18:00,2022-02-01 02:34:00,SELL,-17.099999999998783,1.12236,1.12293,SL
2022-02-01 01:28:00,2022-02-01 01:47:00,SELL,3.9000000000055657,1.12254,1.12241,TGP
2022-02-01 01:33:00,2022-02-01 01:47:00,SELL,8.40000000000174,1.12269,1.12241,TGP
2022-02-01 02:48:00,2022-02-01 03:35:00,SELL,7.200000000000539,1.12313,1.12289,TGP
2022-02-01 03:35:00,2022-02-01 04:28:00,BUY,25.199999999998557,1.12289,1.12373,TG
2022-02-01 04:28:00,2022-02-01 04:49:00,SELL,-16.80000000000348,1.12373,1.12429,SL
2022-02-01 04:34:00,2022-02-01 04:49:00,SELL,-16.199999999999548,1.12375,1.12429,SL
2022-02-01 04:47:00,2022-02-01 05:59:00,SELL,4.499999999996174,1.12411,1.12396,TGP
2022-02-01 04:57:00,2022-02-01 05:59:00,SELL,9.599999999996278,1.12428,1.12396,TGP
2022-02-01 05:59:00,2022-02-01 06:16:00,BUY,-5.40000000000207,1.12396,1.12378,SLPR
2022-02-01 06:19:00,2022-02-01 07:12:00,BUY,8.099999999999774,1.12382,1.12409,TGP
2022-02-01 07:00:00,2022-02-01 07:12:00,BUY,4.20000000000087,1.12395,1.12409,TGP
2022-02-01 07:12:00,2022-02-01 07:36:00,SELL,-7.200000000000539,1.12409,1.12433,SLPR
2022-02-01 07:40:00,2022-02-01 07:49:00,SELL,-15.599999999995617,1.12464,1.12516,SL
2022-02-01 08:04:00,2022-02-01 08:18:00,SELL,26.999999999997026,1.12635,1.12545,TG
2022-02-01 08:18:00,2022-02-01 09:19:00,BUY,19.500000000001183,1.12545,1.1261,TGP
2022-02-01 08:49:00,2022-02-01 09:19:00,BUY,19.80000000000315,1.12544,1.1261,TGP
2022-02-01 09:19:00,2022-02-01 10:23:00,SELL,-10.200000000000209,1.1261,1.12644,SLPR
2022-02-01 09:23:00,2022-02-01 10:26:00,SELL,-16.199999999999548,1.12604,1.12658,SL
2022-02-01 09:31:00,2022-02-01 09:37:00,SELL,19.80000000000315,1.1264,1.12574,TG
2022-02-01 10:27:00,2022-02-01 10:49:00,SELL,23.400000000000087,1.12635,1.12557,TG
2022-02-01 11:24:00,2022-02-01 12:37:00,SELL,2.9999999999996696,1.12667,1.12657,TGP
2022-02-01 11:30:00,2022-02-01 12:08:00,SELL,-0.5999999999972694,1.12705,1.12707,TGP
2022-02-01 11:39:00,2022-02-01 12:08:00,SELL,11.400000000001409,1.12745,1.12707,TGP
2022-02-01 11:48:00,2022-02-01 12:08:00,SELL,18.60000000000195,1.12769,1.12707,TG
2022-02-01 12:08:00,2022-02-01 12:28:00,BUY,-11.999999999998678,1.12707,1.12667,SLPR
2022-02-01 12:37:00,2022-02-01 12:54:00,BUY,-21.600000000001618,1.12657,1.12585,SL
2022-02-01 12:55:00,2022-02-01 13:44:00,BUY,3.6000000000036003,1.12615,1.12627,TGP
2022-02-01 13:44:00,2022-02-01 13:50:00,SELL,-8.999999999999009,1.12627,1.12657,SLPR
2022-02-01 14:26:00,2022-02-01 14:49:00,SELL,24.600000000001288,1.12722,1.1264,TG
2022-02-01 14:49:00,2022-02-01 15:00:00,BUY,-27.600000000000957,1.1264,1.12548,SL
2022-02-01 15:04:00,2022-02-01 15:41:00,BUY,-13.799999999997148,1.12567,1.12521,SLPR
2022-02-01 15:46:00,2022-02-01 15:50:00,BUY,21.299999999999653,1.12492,1.12563,TG
2022-02-01 16:31:00,2022-02-01 16:40:00,SELL,25.199999999998557,1.1251,1.12426,TG
2022-02-01 16:44:00,2022-02-01 16:55:00,BUY,-12.899999999997913,1.1239,1.12347,SLPR
2022-02-01 16:52:00,2022-02-01 17:19:00,BUY,23.700000000002053,1.12361,1.1244,TG
2022-02-01 17:28:00,2022-02-01 17:45:00,SELL,23.999999999997357,1.12463,1.12383,TG
2022-02-01 17:45:00,2022-02-01 18:03:00,BUY,20.399999999993756,1.12383,1.12451,TGP
2022-02-01 18:03:00,2022-02-01 18:34:00,SELL,-6.300000000001305,1.12451,1.12472,SLPR
2022-02-01 18:11:00,2022-02-01 19:13:00,SELL,12.599999999995948,1.12482,1.1244,TGP
2022-02-01 19:13:00,2022-02-01 19:48:00,BUY,29.399999999999427,1.1244,1.12538,TG
2022-02-01 19:48:00,2022-02-01 20:11:00,SELL,-10.499999999995513,1.12538,1.12573,SLPR
2022-02-01 19:52:00,2022-02-01 20:13:00,SELL,-7.200000000000539,1.12559,1.12583,SLPR
2022-02-01 20:46:00,2022-02-01 21:28:00,SELL,-8.099999999999774,1.12684,1.12711,SLPR
2022-02-01 20:49:00,2022-02-01 21:29:00,SELL,-9.60000000000294,1.12683,1.12715,SLPR
2022-02-01 21:21:00,2022-02-02 01:39:00,SELL,-14.999999999998348,1.127,1.1275,SL
2022-02-01 21:34:00,2022-02-01 22:10:00,SELL,0.6000000000039307,1.12704,1.12702,TGP
2022-02-01 21:49:00,2022-02-01 22:00:00,SELL,6.899999999998574,1.12723,1.127,TGP
2022-02-01 22:10:00,2022-02-01 22:53:00,BUY,0.0,1.12702,1.12702,TGP
2022-02-01 22:39:00,2022-02-01 23:51:00,SELL,-4.499999999996174,1.12711,1.12726,SLPR
2022-02-01 23:43:00,2022-02-02 00:18:00,SELL,4.799999999998139,1.12716,1.127,TGP
2022-02-02 00:09:00,2022-02-02 00:18:00,SELL,9.300000000000974,1.12731,1.127,TGP
2022-02-02 00:18:00,2022-02-02 01:18:00,BUY,9.899999999998244,1.127,1.12733,TGP
2022-02-02 00:31:00,2022-02-02 01:18:00,BUY,14.699999999996383,1.12684,1.12733,TGP
2022-02-02 01:29:00,2022-02-02 07:59:00,SELL,-21.00000000000435,1.12739,1.12809,SL
2022-02-02 01:42:00,2022-02-02 07:59:00,SELL,-17.700000000002714,1.1275,1.12809,SL
2022-02-02 01:46:00,2022-02-02 03:21:00,SELL,4.799999999998139,1.12753,1.12737,TGP
2022-02-02 01:58:00,2022-02-02 03:21:00,SELL,6.899999999998574,1.1276,1.12737,TGP
2022-02-02 02:25:00,2022-02-02 02:41:00,BUY,6.900000000005235,1.12746,1.12769,TGP
2022-02-02 02:41:00,2022-02-02 03:21:00,SELL,9.60000000000294,1.12769,1.12737,TGP
2022-02-02 03:21:00,2022-02-02 06:32:00,BUY,-15.300000000000313,1.12737,1.12686,SL
2022-02-02 03:29:00,2022-02-02 04:26:00,BUY,5.700000000004035,1.12723,1.12742,TGP
2022-02-02 03:33:00,2022-02-02 04:26:00,BUY,7.500000000002505,1.12717,1.12742,TGP
2022-02-02 03:35:00,2022-02-02 04:26:00,BUY,6.900000000005235,1.12719,1.12742,TGP
2022-02-02 03:40:00,2022-02-02 04:26:00,BUY,7.80000000000447,1.12716,1.12742,TGP
2022-02-02 04:00:00,2022-02-02 04:26:00,BUY,11.099999999999444,1.12705,1.12742,TGP
2022-02-02 05:31:00,2022-02-02 05:47:00,SELL,7.80000000000447,1.12749,1.12723,TGP
2022-02-02 05:47:00,2022-02-02 07:16:00,BUY,6.899999999998574,1.12723,1.12746,TGP
2022-02-02 06:35:00,2022-02-02 07:10:00,BUY,11.999999999998678,1.12688,1.12728,TGP
2022-02-02 06:41:00,2022-02-02 07:10:00,BUY,15.300000000000313,1.12677,1.12728,TGP
2022-02-02 07:10:00,2022-02-02 07:59:00,SELL,-24.299999999999322,1.12728,1.12809,SL
2022-02-02 07:16:00,2022-02-02 07:57:00,SELL,-7.80000000000447,1.12746,1.12772,SLPR
2022-02-02 07:26:00,2022-02-02 07:59:00,SELL,-12.60000000000261,1.12767,1.12809,SLPR
2022-02-02 08:34:00,2022-02-02 08:49:00,SELL,23.099999999998122,1.1292,1.12843,TG
2022-02-02 08:49:00,2022-02-02 09:24:00,BUY,-14.400000000001079,1.12843,1.12795,SLPR
2022-02-02 09:26:00,2022-02-02 10:06:00,BUY,32.40000000000576,1.12824,1.12932,TG
2022-02-02 09:37:00,2022-02-02 10:06:00,BUY,40.800000000000836,1.12796,1.12932,TG
2022-02-02 10:05:00,2022-02-02 10:29:00,SELL,-18.299999999999983,1.12969,1.1303,SL
2022-02-02 10:26:00,2022-02-02 10:32:00,SELL,-17.099999999998783,1.12984,1.13041,SL
2022-02-02 10:30:00,2022-02-02 10:34:00,SELL,-18.899999999997252,1.13013,1.13076,SL
2022-02-02 10:45:00,2022-02-02 11:26:00,SELL,-14.699999999996383,1.13091,1.1314,SLPR
2022-02-02 11:27:00,2022-02-02 11:50:00,SELL,-9.300000000000974,1.13134,1.13165,SLPR
2022-02-02 11:58:00,2022-02-02 12:13:00,SELL,-17.700000000002714,1.13161,1.1322,SLPR
2022-02-02 12:19:00,2022-02-02 13:15:00,SELL,-13.799999999997148,1.13237,1.13283,SLPR
2022-02-02 13:04:00,2022-02-02 13:15:00,SELL,-12.300000000000644,1.13242,1.13283,SLPR
2022-02-02 13:16:00,2022-02-02 13:39:00,SELL,13.500000000001844,1.13233,1.13188,TGP
2022-02-02 13:39:00,2022-02-02 13:54:00,BUY,-10.799999999997478,1.13188,1.13152,SLPR
2022-02-02 14:02:00,2022-02-02 14:25:00,BUY,18.60000000000195,1.13107,1.13169,TGP
2022-02-02 14:06:00,2022-02-02 14:25:00,BUY,24.299999999999322,1.13088,1.13169,TG
2022-02-02 14:25:00,2022-02-02 14:43:00,SELL,21.900000000003583,1.13169,1.13096,TG
2022-02-02 15:14:00,2022-02-02 15:51:00,BUY,19.80000000000315,1.12983,1.13049,TG
2022-02-02 15:19:00,2022-02-02 15:44:00,BUY,25.199999999998557,1.12954,1.13038,TG
2022-02-02 15:21:00,2022-02-02 15:33:00,BUY,24.900000000003253,1.12927,1.1301,TG
2022-02-02 15:23:00,2022-02-02 15:34:00,BUY,25.500000000000522,1.12941,1.13026,TG
2022-02-02 15:51:00,2022-02-02 15:55:00,SELL,25.500000000000522,1.13049,1.12964,TG
2022-02-02 15:58:00,2022-02-02 16:49:00,BUY,8.399999999995078,1.12966,1.12994,TGP
2022-02-02 16:49:00,2022-02-02 17:06:00,SELL,-10.80000000000414,1.12994,1.1303,SLPR
2022-02-02 17:12:00,2022-02-02 17:55:00,SELL,-16.500000000001513,1.13041,1.13096,SL
2022-02-02 17:57:00,2022-02-02 18:56:00,SELL,7.799999999997809,1.13102,1.13076,TGP
2022-02-02 18:09:00,2022-02-02 18:47:00,SELL,8.40000000000174,1.13124,1.13096,TGP
2022-02-02 18:47:00,2022-02-02 20:20:00,BUY,8.700000000003705,1.13096,1.13125,TGP
2022-02-02 18:56:00,2022-02-02 20:20:00,BUY,14.700000000003044,1.13076,1.13125,TGP
2022-02-02 20:20:00,2022-02-02 20:40:00,SELL,14.100000000005775,1.13125,1.13078,TGP
2022-02-02 20:40:00,2022-02-02 21:08:00,BUY,-16.199999999999548,1.13078,1.13024,SL
2022-02-02 20:43:00,2022-02-02 21:08:00,BUY,-16.199999999999548,1.13078,1.13024,SL
2022-02-02 20:46:00,2022-02-02 21:01:00,BUY,-14.999999999998348,1.13079,1.13029,SL
2022-02-02 20:55:00,2022-02-02 21:39:00,BUY,2.399999999995739,1.1305,1.13058,TGP
2022-02-02 21:39:00,2022-02-02 22:05:00,SELL,10.200000000000209,1.13058,1.13024,TGP
2022-02-02 22:05:00,2022-02-02 23:16:00,BUY,-12.599999999995948,1.13024,1.12982,SLPR
2022-02-02 22:53:00,2022-02-02 23:19:00,SELL,11.999999999998678,1.13032,1.12992,TGP
2022-02-02 23:19:00,2022-02-03 00:29:00,BUY,-12.300000000000644,1.12992,1.12951,SLPR
2022-02-02 23:51:00,2022-02-03 01:18:00,BUY,-15.00000000000501,1.12993,1.12943,SL
2022-02-02 23:54:00,2022-02-03 01:19:00,BUY,-19.500000000001183,1.12992,1.12927,SL
2022-02-02 23:58:00,2022-02-03 01:19:00,BUY,-17.400000000000748,1.12985,1.12927,SL
2022-02-03 00:32:00,2022-02-03 01:19:00,BUY,-9.300000000000974,1.12958,1.12927,SLPR
2022-02-03 00:40:00,2022-02-03 01:20:00,BUY,-4.20000000000087,1.12948,1.12934,SLPR
2022-02-03 01:20:00,2022-02-03 01:36:00,BUY,8.099999999999774,1.12934,1.12961,TGP
2022-02-03 01:36:00,2022-02-03 02:05:00,SELL,-15.300000000000313,1.12961,1.13012,SL
2022-02-03 02:02:00,2022-02-03 02:30:00,SELL,6.899999999998574,1.13002,1.12979,TGP
2022-02-03 02:11:00,2022-02-03 02:30:00,SELL,11.399999999994748,1.13017,1.12979,TGP
2022-02-03 02:19:00,2022-02-03 02:30:00,SELL,13.199999999999878,1.13023,1.12979,TGP
2022-02-03 02:30:00,2022-02-03 03:09:00,BUY,7.499999999995843,1.12979,1.13004,TGP
2022-02-03 02:57:00,2022-02-03 03:09:00,BUY,7.499999999995843,1.12979,1.13004,TGP
2022-02-03 03:09:00,2022-02-03 04:29:00,SELL,7.799999999997809,1.13004,1.12978,TGP
2022-02-03 03:30:00,2022-02-03 04:10:00,SELL,7.199999999993878,1.13051,1.13027,TGP
2022-02-03 03:37:00,2022-02-03 04:10:00,SELL,11.099999999999444,1.13064,1.13027,TGP
2022-02-03 04:10:00,2022-02-03 04:24:00,BUY,-16.80000000000348,1.13027,1.12971,SL
2022-02-03 04:29:00,2022-02-03 04:58:00,BUY,-8.099999999999774,1.12978,1.12951,SLPR
2022-02-03 04:53:00,2022-02-03 05:22:00,BUY,3.300000000001635,1.12992,1.13003,TGP
2022-02-03 04:59:00,2022-02-03 05:22:00,BUY,12.00000000000534,1.12963,1.13003,TGP
2022-02-03 05:22:00,2022-02-03 06:10:00,SELL,6.60000000000327,1.13003,1.12981,TGP
2022-02-03 06:10:00,2022-02-03 06:26:00,BUY,-15.899999999997583,1.12981,1.12928,SL
2022-02-03 06:24:00,2022-02-03 06:57:00,BUY,-9.60000000000294,1.12949,1.12917,SLPR
2022-02-03 06:28:00,2022-02-03 06:58:00,BUY,-7.200000000000539,1.12935,1.12911,SLPR
2022-02-03 07:31:00,2022-02-03 08:00:00,BUY,15.300000000000313,1.12881,1.12932,TG
2022-02-03 07:33:00,2022-02-03 08:00:00,BUY,13.80000000000381,1.12886,1.12932,TG
2022-02-03 08:00:00,2022-02-03 08:52:00,SELL,7.200000000000539,1.12932,1.12908,TGP
2022-02-03 08:52:00,2022-02-03 09:35:00,BUY,-11.099999999999444,1.12908,1.12871,SLPR
2022-02-03 09:36:00,2022-02-03 09:56:00,BUY,-7.500000000002505,1.12876,1.12851,SLPR
2022-02-03 09:38:00,2022-02-03 09:58:00,BUY,-12.300000000000644,1.12877,1.12836,SLPR
2022-02-03 10:26:00,2022-02-03 10:38:00,BUY,1.7999999999984695,1.12792,1.12798,SLPR
2022-02-03 12:12:00,2022-02-03 12:31:00,SELL,-9.299999999994313,1.12908,1.12939,SLPR
2022-02-03 13:54:00,2022-02-03 13:57:00,SELL,-21.900000000003583,1.13472,1.13545,SL
2022-02-03 14:06:00,2022-02-03 14:08:00,SELL,23.700000000002053,1.13849,1.1377,TG
2022-02-03 14:23:00,2022-02-03 14:30:00,SELL,33.900000000002265,1.13869,1.13756,TG
2022-02-03 14:42:00,2022-02-03 14:46:00,SELL,16.80000000000348,1.14029,1.13973,TG
2022-02-03 15:42:00,2022-02-03 15:44:00,SELL,-23.400000000000087,1.14131,1.14209,SL
2022-02-03 15:47:00,2022-02-03 15:51:00,SELL,-3.300000000001635,1.14197,1.14208,SLPR
2022-02-03 15:49:00,2022-02-03 15:53:00,SELL,-18.599999999995287,1.14159,1.14221,SL
2022-02-03 16:18:00,2022-02-03 16:55:00,SELL,-5.699999999997374,1.1425,1.14269,SLPR
2022-02-03 16:34:00,2022-02-03 16:43:00,SELL,28.799999999995496,1.14397,1.14301,TG
2022-02-03 16:46:00,2022-02-03 16:54:00,BUY,-4.500000000002835,1.14269,1.14254,SLPR
2022-02-03 17:03:00,2022-02-03 17:15:00,BUY,33.30000000000499,1.14224,1.14335,TG
2022-02-03 17:14:00,2022-02-03 17:18:00,SELL,-12.300000000000644,1.14353,1.14394,SLPR
2022-02-03 17:20:00,2022-02-03 17:33:00,SELL,21.899999999996922,1.14383,1.1431,TG
2022-02-03 17:24:00,2022-02-03 17:33:00,SELL,24.600000000001288,1.14392,1.1431,TG
2022-02-03 17:59:00,2022-02-03 18:04:00,SELL,26.399999999999757,1.14432,1.14344,TG
2022-02-03 18:14:00,2022-02-03 18:35:00,BUY,7.499999999995843,1.14325,1.1435,TGP
2022-02-03 18:26:00,2022-02-03 18:38:00,BUY,26.100000000004453,1.14271,1.14358,TG
2022-02-03 18:29:00,2022-02-03 18:35:00,BUY,19.199999999999218,1.14286,1.1435,TGP
2022-02-03 18:35:00,2022-02-03 19:49:00,SELL,6.899999999998574,1.1435,1.14327,TGP
2022-02-03 18:48:00,2022-02-03 19:34:00,SELL,-1.7999999999984695,1.14388,1.14394,TGP
2022-02-03 18:54:00,2022-02-03 19:34:00,SELL,4.20000000000087,1.14408,1.14394,TGP
2022-02-03 19:15:00,2022-02-03 19:34:00,SELL,22.800000000002818,1.1447,1.14394,TG
2022-02-03 19:34:00,2022-02-03 19:42:00,BUY,-18.299999999999983,1.14394,1.14333,SL
2022-02-03 19:49:00,2022-02-03 20:34:00,BUY,-9.60000000000294,1.14327,1.14295,SLPR
2022-02-03 21:20:00,2022-02-03 22:03:00,SELL,-9.599999999996278,1.14362,1.14394,TGP
2022-02-03 22:03:00,2022-02-03 23:17:00,BUY,0.8999999999992347,1.14394,1.14397,TGP
2022-02-03 23:17:00,2022-02-04 00:03:00,SELL,17.999999999998018,1.14397,1.14337,TG
2022-02-03 23:20:00,2022-02-04 00:03:00,SELL,19.500000000001183,1.14402,1.14337,TG
2022-02-04 00:03:00,2022-02-04 00:35:00,BUY,11.700000000003374,1.14337,1.14376,TGP
2022-02-04 00:35:00,2022-02-04 00:43:00,SELL,-14.999999999998348,1.14376,1.14426,SL
2022-02-04 00:47:00,2022-02-04 00:57:00,SELL,-8.399999999995078,1.14413,1.14441,SLPR
2022-02-04 01:12:00,2022-02-04 01:32:00,SELL,-9.300000000000974,1.14489,1.1452,SLPR
2022-02-04 01:34:00,2022-02-04 02:44:00,SELL,-15.599999999995617,1.14518,1.1457,SLPR
2022-02-04 03:01:00,2022-02-04 03:51:00,SELL,2.100000000000435,1.14612,1.14605,TGP
