,Index,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
0,2022-01-24 12:36:00,1.12998,1.13021,1.12997,39.600410542732234,,1.13017,BUY,1.13012,2022-01-24 12:51:00,SLPR,-1.4999999999965041
1,2022-01-24 13:19:00,1.13055,1.13056,1.13042,68.10395375581173,,1.13046,SELL,1.12976,2022-01-24 13:47:00,TG,20.999999999997687
2,2022-01-24 13:47:00,1.12965,1.12976,1.12953,34.53987138212355,,1.12976,BUY,1.12948,2022-01-24 13:56:00,SLPR,-8.40000000000174
3,2022-01-24 14:11:00,1.13029,1.13029,1.1302,68.6935937234707,,1.1302,SELL,1.12945,2022-01-24 14:16:00,TG,22.500000000000853
4,2022-01-24 15:17:00,1.13031,1.13031,1.12984,52.69680751997462,,1.12985,SELL,1.1305,2022-01-24 15:21:00,SLPR,-19.500000000001183
5,2022-01-24 15:26:00,1.13086,1.13092,1.13075,67.63588457659873,,1.13079,SELL,1.13115,2022-01-24 15:30:00,SLPR,-10.80000000000414
6,2022-01-24 15:44:00,1.13237,1.13241,1.13205,62.790073532316754,,1.13207,SELL,1.13135,2022-01-24 15:49:00,TG,21.599999999994957
7,2022-01-24 15:57:00,1.13057,1.13074,1.13049,30.92774206975173,,1.13066,BUY,1.13144,2022-01-24 16:10:00,TG,23.400000000000087
8,2022-01-24 17:32:00,1.1321,1.13216,1.13203,68.57630500687851,,1.13208,SELL,0.0,0,0,0.0
9,2022-01-24 17:34:00,1.13222,1.13222,1.13217,69.95409825948383,,1.13218,SELL,0.0,0,0,0.0
10,2022-01-24 17:50:00,1.13265,1.13265,1.13253,63.89737528270995,,1.13256,SELL,1.13236,2022-01-24 19:27:00,TGP,5.999999999999339
11,2022-01-24 19:27:00,1.13234,1.13237,1.13227,32.09652285224962,,1.13236,BUY,1.13192,2022-01-24 19:46:00,SLPR,-13.199999999999878
12,2022-01-24 19:49:00,1.13181,1.13194,1.1318,31.570318314435923,,1.13191,BUY,1.13223,2022-01-24 20:41:00,TGP,9.60000000000294
13,2022-01-24 20:41:00,1.13237,1.13237,1.13222,59.98550274895992,,1.13223,SELL,1.13195,2022-01-24 21:01:00,TGP,8.40000000000174
14,2022-01-24 21:16:00,1.13257,1.13258,1.13243,62.695266850860484,,1.13246,SELL,1.13228,2022-01-24 22:21:00,TGP,5.40000000000207
15,2022-01-24 22:21:00,1.13196,1.13228,1.13193,56.76960602663684,,1.13228,BUY,1.13266,2022-01-24 23:03:00,TGP,11.400000000001409
16,2022-01-24 23:03:00,1.13279,1.13281,1.13257,68.71042460509574,,1.13266,SELL,1.13204,2022-01-25 00:07:00,TGP,18.60000000000195
17,2022-01-25 00:07:00,1.13197,1.13205,1.13196,32.221238466400706,,1.13204,BUY,1.13178,2022-01-25 00:12:00,SLPR,-7.799999999997809
18,2022-01-25 00:15:00,1.13168,1.13186,1.13168,40.77274980028125,,1.13186,BUY,1.13213,2022-01-25 00:45:00,TGP,8.099999999999774
19,2022-01-25 00:45:00,1.13224,1.13224,1.13211,57.955069653706126,,1.13213,SELL,1.13194,2022-01-25 01:40:00,TGP,5.700000000004035
20,2022-01-25 01:40:00,1.13187,1.13197,1.13184,38.68517486981633,,1.13194,BUY,1.13164,2022-01-25 01:52:00,SLPR,-8.999999999999009
21,2022-01-25 01:53:00,1.13165,1.13173,1.13165,38.795851011306404,,1.13172,BUY,1.13149,2022-01-25 02:26:00,SLPR,-6.899999999998574
22,2022-01-25 02:34:00,1.13128,1.13135,1.13128,35.585496125090955,,1.13135,BUY,1.13102,2022-01-25 02:40:00,SLPR,-9.900000000004905
23,2022-01-25 02:45:00,1.13099,1.13105,1.13098,34.34604370037408,,1.13105,BUY,1.13121,2022-01-25 02:59:00,TGP,4.799999999998139
24,2022-01-25 02:59:00,1.13138,1.13138,1.13117,52.064313377226355,,1.13121,SELL,1.13093,2022-01-25 03:09:00,TGP,8.40000000000174
25,2022-01-25 03:09:00,1.13092,1.13095,1.13092,32.002381432657714,,1.13093,BUY,1.13124,2022-01-25 03:26:00,TGP,9.300000000000974
26,2022-01-25 03:26:00,1.13124,1.13125,1.13121,69.23771838623777,,1.13124,SELL,1.13143,2022-01-25 04:03:00,SLPR,-5.699999999997374
27,2022-01-25 04:04:00,1.13144,1.13144,1.13138,63.18978919093615,,1.13138,SELL,1.13099,2022-01-25 04:51:00,TGP,11.700000000003374
28,2022-01-25 04:51:00,1.13097,1.13099,1.13094,30.060001468729,,1.13099,BUY,1.13125,2022-01-25 05:06:00,TGP,7.80000000000447
29,2022-01-25 05:06:00,1.1313,1.13131,1.13121,60.8704737415342,,1.13125,SELL,1.13101,2022-01-25 05:35:00,TGP,7.200000000000539
30,2022-01-25 05:35:00,1.13101,1.13103,1.13101,30.037926331782387,,1.13101,BUY,1.13081,2022-01-25 05:42:00,SLPR,-5.999999999999339
31,2022-01-25 05:46:00,1.13082,1.13091,1.13082,40.58288875864963,,1.1309,BUY,1.13059,2022-01-25 06:07:00,SLPR,-9.300000000000974
32,2022-01-25 06:11:00,1.13053,1.13065,1.13053,31.885010690893438,,1.13058,BUY,1.13034,2022-01-25 07:05:00,SLPR,-7.200000000000539
33,2022-01-25 07:16:00,1.13108,1.13114,1.13093,60.12657827409408,,1.13093,SELL,1.13084,2022-01-25 07:41:00,TGP,2.6999999999977042
34,2022-01-25 07:41:00,1.13076,1.13084,1.13075,34.6864632895316,,1.13084,BUY,1.13073,2022-01-25 07:44:00,SLPR,-3.300000000001635
35,2022-01-25 07:44:00,1.13062,1.13082,1.13055,35.007496986753736,,1.13073,BUY,1.13045,2022-01-25 07:50:00,SLPR,-8.40000000000174
36,2022-01-25 07:53:00,1.13044,1.13061,1.13044,37.67154458564751,,1.13054,BUY,1.13032,2022-01-25 07:57:00,SLPR,-6.60000000000327
37,2022-01-25 08:00:00,1.13016,1.1303,1.13012,33.208773618721025,,1.13024,BUY,1.13112,2022-01-25 08:20:00,TG,26.399999999999757
38,2022-01-25 08:23:00,1.13123,1.13123,1.13095,56.22635119039806,,1.131,SELL,1.1297,2022-01-25 08:39:00,TG,39.000000000002366
39,2022-01-25 08:39:00,1.12946,1.12974,1.12945,35.28628533519179,,1.1297,BUY,1.13044,2022-01-25 08:46:00,TG,22.199999999998887
40,2022-01-25 09:01:00,1.12954,1.12975,1.12948,31.734925974382577,,1.12963,BUY,1.1292,2022-01-25 09:40:00,SLPR,-12.899999999997913
41,2022-01-25 09:46:00,1.12874,1.12887,1.12873,33.3601907031225,,1.12881,BUY,1.12862,2022-01-25 09:51:00,SLPR,-5.700000000004035
42,2022-01-25 09:54:00,1.12857,1.12863,1.12848,32.77527041677594,,1.12861,BUY,1.12839,2022-01-25 09:56:00,SLPR,-6.599999999996609
43,2022-01-25 09:57:00,1.1284,1.12857,1.1284,33.877751456220324,,1.1285,BUY,1.12813,2022-01-25 10:30:00,SLPR,-11.099999999999444
44,2022-01-25 10:34:00,1.12801,1.12822,1.128,33.72040627780528,,1.12817,BUY,1.12785,2022-01-25 11:27:00,SLPR,-9.599999999996278
45,2022-01-25 11:31:00,1.12765,1.12784,1.12754,38.71821314792524,,1.1278,BUY,1.12748,2022-01-25 11:39:00,SLPR,-9.599999999996278
46,2022-01-25 11:40:00,1.12748,1.12752,1.12737,32.90735636307065,,1.12752,BUY,1.12714,2022-01-25 11:45:00,SLPR,-11.400000000001409
47,2022-01-25 11:56:00,1.1269,1.12708,1.12682,36.08253068468183,,1.12707,BUY,1.12667,2022-01-25 12:57:00,SLPR,-11.999999999998678
48,2022-01-25 13:02:00,1.12672,1.12696,1.12672,45.201472493812226,,1.12695,BUY,1.12757,2022-01-25 13:30:00,TGP,18.60000000000195
49,2022-01-25 13:30:00,1.12766,1.12766,1.12752,65.77181627422608,,1.12757,SELL,1.12717,2022-01-25 13:52:00,TGP,11.999999999998678
50,2022-01-25 13:52:00,1.12712,1.12722,1.12708,34.234465803463564,,1.12717,BUY,1.12696,2022-01-25 14:20:00,SLPR,-6.300000000001305
51,2022-01-25 14:47:00,1.12795,1.12795,1.12764,65.78908535261844,,1.12778,SELL,1.12701,2022-01-25 15:02:00,TG,23.099999999998122
