date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2021-12-29 00:00:00,1.13125,1.13124,1.13128,1.13121,1.13139,1.13137,1.1314,1.13135,48
2021-12-29 00:01:00,1.13123,1.13122,1.13127,1.13122,1.13137,1.13137,1.13141,1.13136,22
2021-12-29 00:02:00,1.13122,1.13104,1.13122,1.13103,1.13136,1.13117,1.13136,1.13116,54
2021-12-29 00:03:00,1.13103,1.13093,1.13103,1.13092,1.13115,1.13107,1.13115,1.13106,35
2021-12-29 00:04:00,1.13094,1.13104,1.13104,1.13094,1.13107,1.13118,1.13118,1.13107,36
2021-12-29 00:05:00,1.13104,1.1311,1.13111,1.13103,1.13117,1.13124,1.13125,1.13116,29
2021-12-29 00:06:00,1.1311,1.13111,1.13115,1.13109,1.13123,1.13125,1.13129,1.13123,28
2021-12-29 00:07:00,1.13112,1.1311,1.13113,1.1311,1.13125,1.13124,1.13126,1.13123,22
2021-12-29 00:08:00,1.13111,1.13121,1.13121,1.13111,1.13125,1.13134,1.13134,1.13125,13
2021-12-29 00:09:00,1.13121,1.13116,1.13121,1.13116,1.13132,1.13129,1.13132,1.13129,6
2021-12-29 00:10:00,1.13116,1.13116,1.13116,1.13116,1.13128,1.13128,1.13128,1.13128,1
2021-12-29 00:12:00,1.13116,1.13115,1.13116,1.13115,1.13129,1.13128,1.13129,1.13128,5
2021-12-29 00:13:00,1.13116,1.13116,1.13116,1.13116,1.13128,1.13129,1.13129,1.13128,4
2021-12-29 00:14:00,1.13116,1.13116,1.13118,1.13116,1.13128,1.13128,1.1313,1.13127,14
2021-12-29 00:15:00,1.13116,1.131,1.13116,1.131,1.13129,1.13113,1.13129,1.13112,35
2021-12-29 00:16:00,1.131,1.13106,1.13106,1.131,1.13114,1.13118,1.13118,1.13112,17
2021-12-29 00:17:00,1.13106,1.13106,1.13109,1.13105,1.13117,1.13119,1.13122,1.13117,49
2021-12-29 00:18:00,1.13106,1.131,1.13106,1.131,1.13118,1.13112,1.13118,1.13112,12
2021-12-29 00:20:00,1.13098,1.131,1.131,1.13095,1.13111,1.13114,1.13114,1.13108,35
2021-12-29 00:21:00,1.131,1.13099,1.131,1.13099,1.13113,1.13113,1.13114,1.13113,4
2021-12-29 00:22:00,1.131,1.13113,1.13113,1.131,1.13113,1.13126,1.13126,1.13113,21
2021-12-29 00:23:00,1.13112,1.13113,1.13113,1.13112,1.13126,1.13126,1.13126,1.13126,2
2021-12-29 00:24:00,1.13112,1.13115,1.13115,1.13112,1.13126,1.13128,1.13128,1.13126,10
2021-12-29 00:25:00,1.13114,1.13109,1.13114,1.13109,1.13128,1.13123,1.13128,1.13122,17
2021-12-29 00:26:00,1.1311,1.13109,1.1311,1.13109,1.13123,1.13122,1.13123,1.13122,2
2021-12-29 00:27:00,1.13109,1.13102,1.13109,1.13102,1.13123,1.13115,1.13123,1.13114,41
