,Index,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
0,2022-01-24 00:51:00,1.13361,1.1337,1.13349,57.49362067727326,,1.13349,SELL,1.13381,2022-01-24 00:53:00,SLP,-9.599999999996278
1,2022-01-24 00:55:00,1.13399,1.13401,1.13357,55.087527188978314,,1.13364,SELL,1.13343,2022-01-24 01:24:00,TGP,6.300000000001305
2,2022-01-24 01:24:00,1.13331,1.13344,1.13328,45.0861010066647,UP_CROSSOVER,1.13343,BUY,0.0,0,0,0.0
3,2022-01-24 02:28:00,1.13323,1.13334,1.13323,46.06171390972419,,1.13334,BUY,1.1328,2022-01-24 03:40:00,SL,-16.199999999999548
4,2022-01-24 03:44:00,1.13274,1.13279,1.13269,30.897067619647387,,1.13279,BUY,1.13298,2022-01-24 04:38:00,TGP,5.700000000004035
5,2022-01-24 04:38:00,1.13304,1.13305,1.13297,57.348422445444314,,1.13298,SELL,1.13265,2022-01-24 05:09:00,TGP,9.900000000004905
6,2022-01-24 05:09:00,1.1326,1.13266,1.13259,32.78838708599439,,1.13265,BUY,1.13173,2022-01-24 05:59:00,SL,-27.600000000000957
7,2022-01-24 06:00:00,1.13173,1.13206,1.13173,33.992736364556634,,1.132,BUY,1.13147,2022-01-24 06:26:00,SL,-15.899999999997583
8,2022-01-24 06:27:00,1.13145,1.13151,1.13141,30.165849573259734,,1.13149,BUY,1.1321,2022-01-24 06:57:00,TGP,18.299999999999983
9,2022-01-24 06:57:00,1.13215,1.13216,1.13209,63.96398190299047,,1.1321,SELL,1.13227,2022-01-24 06:59:00,SLP,-5.1000000000001044
10,2022-01-24 07:00:00,1.13228,1.13229,1.13205,67.8942945250306,,1.13222,SELL,1.13275,2022-01-24 07:30:00,SL,-15.899999999997583
11,2022-01-24 07:35:00,1.13276,1.13276,1.13265,62.56077984693535,,1.13265,SELL,1.13204,2022-01-24 08:02:00,TG,18.299999999999983
12,2022-01-24 08:05:00,1.13154,1.13163,1.1315,30.466684824970983,,1.13156,BUY,1.13139,2022-01-24 08:07:00,SLP,-5.1000000000001044
13,2022-01-24 08:08:00,1.13139,1.13165,1.13139,40.285610702115505,,1.13164,BUY,1.13169,2022-01-24 08:15:00,SL,1.5000000000031655
14,2022-01-24 08:33:00,1.13272,1.13274,1.13248,66.9308850442961,,1.13264,SELL,1.13176,2022-01-24 08:49:00,TG,26.399999999999757
15,2022-01-24 08:49:00,1.13164,1.13177,1.13153,33.644299208902765,,1.13176,BUY,1.13249,2022-01-24 09:04:00,TG,21.899999999996922
16,2022-01-24 09:31:00,1.13343,1.13349,1.13334,68.73929335069312,,1.13337,SELL,1.13249,2022-01-24 09:50:00,TG,26.399999999999757
17,2022-01-24 09:50:00,1.13233,1.13249,1.13232,37.21212574765906,,1.13249,BUY,1.13198,2022-01-24 10:30:00,SL,-15.300000000000313
18,2022-01-24 10:36:00,1.13179,1.13196,1.1317,33.10550880439267,,1.13186,BUY,1.13177,2022-01-24 10:38:00,SLP,-2.7000000000043656
19,2022-01-24 10:39:00,1.13178,1.13186,1.13167,37.1547794267129,,1.13186,BUY,1.1315,2022-01-24 10:45:00,SLP,-10.80000000000414
20,2022-01-24 10:48:00,1.13152,1.1317,1.13152,32.03082409233848,,1.13154,BUY,1.13102,2022-01-24 11:27:00,SL,-15.600000000002279
21,2022-01-24 11:29:00,1.13107,1.13118,1.13106,32.599638025772464,,1.13114,BUY,1.13057,2022-01-24 11:51:00,SL,-17.099999999998783
22,2022-01-24 11:53:00,1.13043,1.1307,1.13042,37.671988932671745,,1.13066,BUY,1.13014,2022-01-24 11:57:00,SL,-15.600000000002279
23,2022-01-24 11:59:00,1.13013,1.13042,1.13013,36.82589110486443,,1.13036,BUY,1.12995,2022-01-24 12:06:00,SLP,-12.300000000000644
24,2022-01-24 12:07:00,1.12995,1.1302,1.12995,40.61112042240443,DOWN_CROSSOVER,1.13019,BUY,1.12998,2022-01-24 12:35:00,SLP,-6.300000000001305
25,2022-01-24 12:36:00,1.12998,1.13021,1.12997,39.48125491807286,,1.13017,BUY,1.12969,2022-01-24 12:58:00,SL,-14.399999999994417
26,2022-01-24 13:19:00,1.13055,1.13056,1.13042,68.07421843365624,,1.13046,SELL,1.12976,2022-01-24 13:47:00,TG,20.999999999997687
27,2022-01-24 13:47:00,1.12965,1.12976,1.12953,34.540002952414966,,1.12976,BUY,1.1302,2022-01-24 14:11:00,TGP,13.199999999999878
28,2022-01-24 14:11:00,1.13029,1.13029,1.1302,68.69351413200987,,1.1302,SELL,1.12945,2022-01-24 14:16:00,TG,22.500000000000853
29,2022-01-24 15:17:00,1.13031,1.13031,1.12984,52.69680749266132,,1.12985,SELL,1.1305,2022-01-24 15:21:00,SL,-19.500000000001183
