,Index,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
2,2022-01-19 01:25:00,1.13211,1.13221,1.13209,38.471627142019614,,1.1322,BUY,1.13195,2022-01-19 01:30:00,SLPR,-7.500000000002505
4,2022-01-19 02:24:00,1.1325,1.13266,1.13232,60.681422941826106,,1.13235,SELL,1.13261,2022-01-19 02:39:00,SLPR,-7.799999999997809
5,2022-01-19 03:38:00,1.13259,1.13259,1.13247,56.0287079090582,,1.13248,SELL,1.1328,2022-01-19 03:45:00,SLPR,-9.60000000000294
6,2022-01-19 03:47:00,1.13289,1.1329,1.13274,63.06963954682832,,1.13276,SELL,1.13299,2022-01-19 04:39:00,SLPR,-6.899999999998574
8,2022-01-19 06:26:00,1.13328,1.13331,1.13316,66.48224697747185,,1.1332,SELL,1.13341,2022-01-19 06:40:00,SLPR,-6.300000000001305
11,2022-01-19 07:53:00,1.13341,1.13358,1.13338,40.87485590639026,,1.13355,BUY,1.13317,2022-01-19 07:56:00,SLPR,-11.400000000001409
14,2022-01-19 11:35:00,1.1339,1.13405,1.13387,32.61350591605087,,1.13404,BUY,1.13365,2022-01-19 12:00:00,SLPR,-11.699999999996713
16,2022-01-19 12:43:00,1.13347,1.13362,1.13347,34.34829377125908,,1.13358,BUY,1.13325,2022-01-19 12:57:00,SLPR,-9.899999999998244
18,2022-01-19 13:07:00,1.13428,1.13429,1.13409,63.57375999538394,,1.13409,SELL,1.13446,2022-01-19 13:11:00,SLPR,-11.099999999999444
19,2022-01-19 13:13:00,1.13451,1.13452,1.1343,64.93871125828971,,1.13441,SELL,1.13481,2022-01-19 13:20:00,SLPR,-12.00000000000534
22,2022-01-19 14:26:00,1.13464,1.1347,1.13441,63.79822471546762,,1.1345,SELL,1.13489,2022-01-19 14:45:00,SLPR,-11.699999999996713
24,2022-01-19 15:31:00,1.13402,1.13415,1.13401,30.09309750061294,,1.13408,BUY,1.13377,2022-01-19 15:36:00,SLPR,-9.300000000000974
26,2022-01-19 16:08:00,1.13452,1.13452,1.13433,63.80882653535908,,1.1344,SELL,1.13473,2022-01-19 16:26:00,SLPR,-9.899999999998244
31,2022-01-19 18:18:00,1.13477,1.13481,1.13475,68.46851321528348,,1.13476,SELL,1.13498,2022-01-19 18:22:00,SLPR,-6.60000000000327
33,2022-01-19 19:30:00,1.13486,1.13487,1.13467,59.690832985653486,,1.13474,SELL,1.13508,2022-01-19 19:42:00,SLPR,-10.200000000000209
34,2022-01-19 19:45:00,1.13522,1.13522,1.13509,65.32572037539327,,1.1351,SELL,1.1354,2022-01-19 20:34:00,SLPR,-8.999999999999009
36,2022-01-19 20:53:00,1.13485,1.13497,1.13484,31.341610078408166,,1.13492,BUY,1.13452,2022-01-19 20:59:00,SLPR,-11.999999999998678
39,2022-01-19 21:41:00,1.13427,1.13436,1.13422,35.25590233924942,,1.13434,BUY,1.13401,2022-01-19 22:00:00,SLPR,-9.899999999998244
41,2022-01-19 23:48:00,1.13428,1.13428,1.1342,62.40228653410832,,1.13423,SELL,1.13439,2022-01-20 00:02:00,SLPR,-4.799999999998139
42,2022-01-20 00:03:00,1.1344,1.13444,1.13429,57.902876356662645,,1.13431,SELL,1.13455,2022-01-20 00:29:00,SLPR,-7.200000000000539
43,2022-01-20 00:55:00,1.13505,1.13509,1.13494,66.04600999400714,,1.13495,SELL,1.13533,2022-01-20 01:06:00,SLPR,-11.400000000001409
44,2022-01-20 01:21:00,1.13585,1.13586,1.13572,69.70421932827199,,1.13584,SELL,1.13609,2022-01-20 01:29:00,SLPR,-7.500000000002505
46,2022-01-20 02:10:00,1.13544,1.13562,1.13544,35.30450378234532,,1.1356,BUY,1.13532,2022-01-20 02:15:00,SLPR,-8.399999999995078
47,2022-01-20 02:16:00,1.13532,1.13544,1.13528,36.130477878670604,,1.13544,BUY,1.13509,2022-01-20 02:43:00,SLPR,-10.500000000002174
50,2022-01-20 03:39:00,1.1351,1.13524,1.13509,47.839551272335406,,1.13523,BUY,1.13486,2022-01-20 04:08:00,SLPR,-11.099999999999444
51,2022-01-20 04:11:00,1.13479,1.13486,1.13478,32.96195205905002,,1.13484,BUY,1.13459,2022-01-20 05:13:00,SLPR,-7.500000000002505
55,2022-01-20 07:26:00,1.13539,1.13539,1.1352,58.027545152051104,,1.13524,SELL,1.13549,2022-01-20 07:30:00,SLPR,-7.500000000002505
56,2022-01-20 07:30:00,1.13555,1.13567,1.13544,66.7045133396437,,1.13549,SELL,1.13582,2022-01-20 07:31:00,SLPR,-9.899999999998244
57,2022-01-20 07:36:00,1.13599,1.13599,1.13581,66.74948904767756,,1.13584,SELL,1.13619,2022-01-20 07:39:00,SLPR,-10.500000000002174
58,2022-01-20 07:47:00,1.13652,1.13656,1.13641,67.56890770192416,,1.13641,SELL,1.13682,2022-01-20 08:05:00,SLPR,-12.300000000000644
60,2022-01-20 09:14:00,1.13491,1.13494,1.13485,32.63321455587534,,1.13494,BUY,1.13479,2022-01-20 09:19:00,SLPR,-4.500000000002835
61,2022-01-20 09:52:00,1.13438,1.13448,1.13434,37.332933678598295,,1.13448,BUY,1.13426,2022-01-20 10:26:00,SLPR,-6.599999999996609
62,2022-01-20 11:23:00,1.1334,1.13352,1.13334,30.533755976950346,,1.13347,BUY,1.13312,2022-01-20 12:23:00,SLPR,-10.500000000002174
64,2022-01-20 13:33:00,1.13493,1.13498,1.13458,65.81581041711257,,1.13467,SELL,1.13523,2022-01-20 13:36:00,SLPR,-16.799999999996817
66,2022-01-20 14:30:00,1.13422,1.13457,1.13422,38.78542487084615,,1.13449,BUY,1.13406,2022-01-20 14:32:00,SLPR,-12.899999999997913
69,2022-01-20 15:16:00,1.13448,1.1345,1.13436,65.98248290919766,,1.13438,SELL,1.13474,2022-01-20 15:47:00,SLPR,-10.80000000000414
70,2022-01-20 15:48:00,1.13473,1.13483,1.13447,61.23817090385653,,1.13456,SELL,1.13498,2022-01-20 15:49:00,SLPR,-12.60000000000261
71,2022-01-20 15:50:00,1.13497,1.13507,1.1348,69.41598090584847,,1.13492,SELL,1.13517,2022-01-20 15:54:00,SLPR,-7.500000000002505
72,2022-01-20 16:24:00,1.13366,1.13379,1.13356,30.08988130899472,,1.13376,BUY,1.13348,2022-01-20 16:42:00,SLPR,-8.40000000000174
75,2022-01-20 17:29:00,1.13296,1.13307,1.13287,30.94131628784342,,1.13307,BUY,1.13263,2022-01-20 17:55:00,SLPR,-13.199999999999878
76,2022-01-20 17:56:00,1.13262,1.13274,1.13261,36.68363634169036,,1.13274,BUY,1.13225,2022-01-20 18:07:00,SLPR,-14.700000000003044
77,2022-01-20 18:10:00,1.13214,1.13233,1.13214,36.75748521357589,,1.13233,BUY,1.13195,2022-01-20 18:36:00,SLPR,-11.400000000001409
78,2022-01-20 18:38:00,1.13155,1.13181,1.13151,33.43949439545365,,1.13177,BUY,1.13139,2022-01-20 19:36:00,SLPR,-11.400000000001409
79,2022-01-20 19:39:00,1.13135,1.13144,1.13135,33.567212126997106,,1.13142,BUY,1.13119,2022-01-20 19:49:00,SLPR,-6.900000000005235
80,2022-01-20 19:53:00,1.13118,1.13123,1.13118,36.89571925501833,,1.13123,BUY,1.13101,2022-01-20 20:13:00,SLPR,-6.599999999996609
83,2022-01-20 20:50:00,1.13057,1.1307,1.13051,38.21747726671178,,1.1307,BUY,1.1304,2022-01-20 20:52:00,SLPR,-8.999999999999009
87,2022-01-20 22:00:00,1.1309,1.1309,1.13082,54.281909568895834,,1.13083,SELL,1.13112,2022-01-20 22:45:00,SLPR,-8.699999999997043
91,2022-01-21 00:23:00,1.13089,1.13101,1.13084,30.03603716177706,,1.13094,BUY,1.13068,2022-01-21 00:28:00,SLPR,-7.80000000000447
92,2022-01-21 00:34:00,1.13057,1.13068,1.13052,30.45211696904377,,1.13063,BUY,1.13036,2022-01-21 00:45:00,SLPR,-8.099999999999774
93,2022-01-21 00:46:00,1.13037,1.13042,1.13031,31.75308451331709,,1.1304,BUY,1.13016,2022-01-21 00:53:00,SLPR,-7.200000000000539
94,2022-01-21 01:49:00,1.13139,1.13143,1.13132,65.7863389783634,,1.13132,SELL,1.13165,2022-01-21 01:52:00,SLPR,-9.899999999998244
95,2022-01-21 01:53:00,1.13165,1.13165,1.13152,66.41309650180442,,1.13152,SELL,1.13179,2022-01-21 02:13:00,SLPR,-8.099999999999774
96,2022-01-21 02:15:00,1.1318,1.13181,1.13165,55.31341718151674,,1.13169,SELL,1.13198,2022-01-21 02:35:00,SLPR,-8.699999999997043
97,2022-01-21 02:44:00,1.13226,1.13226,1.1322,69.67404749411739,,1.13222,SELL,1.13249,2022-01-21 02:54:00,SLPR,-8.099999999999774
99,2022-01-21 03:53:00,1.13249,1.13254,1.13247,33.27277569121756,,1.13253,BUY,1.13235,2022-01-21 04:33:00,SLPR,-5.40000000000207
101,2022-01-21 05:28:00,1.13239,1.13239,1.13228,50.38939267504466,,1.1323,SELL,1.13268,2022-01-21 06:03:00,SLPR,-11.399999999994748
102,2022-01-21 06:04:00,1.13268,1.13268,1.13263,67.74240546894546,,1.13264,SELL,1.13288,2022-01-21 06:30:00,SLPR,-7.200000000000539
103,2022-01-21 07:44:00,1.13294,1.13307,1.13293,41.22860987156809,,1.13307,BUY,1.13246,2022-01-21 07:52:00,SLPR,-18.299999999999983
108,2022-01-21 10:13:00,1.13356,1.13368,1.13355,43.882590422256264,,1.13368,BUY,1.13336,2022-01-21 10:22:00,SLPR,-9.60000000000294
111,2022-01-21 11:12:00,1.13329,1.1334,1.13329,38.01699684456938,,1.13339,BUY,1.13307,2022-01-21 11:17:00,SLPR,-9.599999999996278
112,2022-01-21 11:20:00,1.13311,1.13325,1.13302,41.563845240275874,,1.13325,BUY,1.13292,2022-01-21 11:23:00,SLPR,-9.900000000004905
114,2022-01-21 12:16:00,1.13346,1.13354,1.13337,67.78083604164681,,1.13337,SELL,1.13375,2022-01-21 12:28:00,SLPR,-11.400000000001409
115,2022-01-21 12:29:00,1.13376,1.13381,1.13369,69.33093626560458,,1.13369,SELL,1.13409,2022-01-21 12:36:00,SLPR,-11.999999999998678
116,2022-01-21 12:39:00,1.13415,1.13415,1.13397,69.2063325828268,,1.13408,SELL,1.13436,2022-01-21 12:46:00,SLPR,-8.40000000000174
117,2022-01-21 12:48:00,1.13439,1.13441,1.13427,67.27138284199955,,1.1343,SELL,1.13454,2022-01-21 13:09:00,SLPR,-7.200000000000539
118,2022-01-21 13:19:00,1.1348,1.13484,1.13475,65.91840062733692,,1.13476,SELL,1.13504,2022-01-21 13:49:00,SLPR,-8.40000000000174
119,2022-01-21 14:20:00,1.13571,1.13586,1.13557,67.23975224207766,,1.13557,SELL,1.13568,2022-01-21 14:25:00,SLPR,-3.300000000001635
120,2022-01-21 14:37:00,1.1348,1.13492,1.13472,34.68991278246324,,1.13491,BUY,1.13457,2022-01-21 14:40:00,SLPR,-10.200000000000209
122,2022-01-21 15:18:00,1.13499,1.13499,1.13483,63.473569099344616,,1.13484,SELL,1.13519,2022-01-21 16:17:00,SLPR,-10.499999999995513
124,2022-01-21 16:37:00,1.13465,1.13472,1.13465,37.505835852689756,,1.13472,BUY,1.13445,2022-01-21 16:41:00,SLPR,-8.099999999999774
125,2022-01-21 16:44:00,1.1342,1.13435,1.13417,31.449154508936772,,1.13435,BUY,1.13395,2022-01-21 17:03:00,SLPR,-11.999999999998678
128,2022-01-21 19:02:00,1.13417,1.1343,1.13417,39.380579827535485,,1.1343,BUY,1.13405,2022-01-21 20:00:00,SLPR,-7.500000000002505
130,2022-01-21 21:37:00,1.13391,1.13405,1.1339,38.73241739588847,,1.13405,BUY,1.13363,2022-01-23 23:05:00,SLPR,-12.60000000000261
132,2022-01-24 00:05:00,1.13363,1.13374,1.13363,38.2065393924037,,1.13373,BUY,1.13338,2022-01-24 00:11:00,SLPR,-10.499999999995513
135,2022-01-24 01:24:00,1.13331,1.13344,1.13328,45.08608931108252,UP_CROSSOVER,1.13343,BUY,1.13319,2022-01-24 03:04:00,SLPR,-7.200000000000539
136,2022-01-24 03:32:00,1.13292,1.133,1.13291,37.914636423913734,,1.13299,BUY,1.13279,2022-01-24 03:44:00,SLPR,-5.999999999999339
139,2022-01-24 05:09:00,1.1326,1.13266,1.13259,32.788387085994486,,1.13265,BUY,1.13243,2022-01-24 05:54:00,SLPR,-6.599999999996609
140,2022-01-24 06:00:00,1.13173,1.13206,1.13173,33.992736364556634,,1.132,BUY,1.13147,2022-01-24 06:26:00,SLPR,-15.899999999997583
142,2022-01-24 06:57:00,1.13215,1.13216,1.13209,63.96398190299047,,1.1321,SELL,1.1324,2022-01-24 07:27:00,SLPR,-8.999999999999009
144,2022-01-24 08:05:00,1.13154,1.13163,1.1315,30.466684824970983,,1.13156,BUY,1.13139,2022-01-24 08:07:00,SLPR,-5.1000000000001044
145,2022-01-24 08:08:00,1.13139,1.13165,1.13139,40.285610702115505,,1.13164,BUY,1.13169,2022-01-24 08:15:00,SLPR,1.5000000000031655
